Model,Alpha,Number of Permutations,f-Mark Type,Weight Type,Rejection Rate
ball_max_shared_area_disc,1,1000,product,intersection,0.122
ball_max_shared_area_disc,1,1000,square,intersection,0.038000000000000034
ball_max_shared_area_disc,1,1000,first_mark,intersection,0.06399999999999995
ball_max_shared_area_disc,1,1000,product,shared_area,0.344
ball_max_shared_area_disc,1,1000,square,shared_area,0.03200000000000003
ball_max_shared_area_disc,1,1000,first_mark,shared_area,0.15700000000000003
