Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
139,ball,ball_0_alpha=0,product,intersection,584.0,5000,0.6624,0.3376,0.6752
139,ball,ball_0_alpha=0,product,shared_area,6.9114665693047055,5000,0.2388,0.7612,0.4776
139,ball,ball_0_alpha=0,product,distance,1866.1194017586936,5000,0.4734,0.5266,0.9468
139,ball,ball_0_alpha=0,square,intersection,563.0,5000,0.7224,0.27759999999999996,0.5551999999999999
139,ball,ball_0_alpha=0,square,shared_area,7.414759938410862,5000,0.8714,0.12860000000000005,0.2572000000000001
139,ball,ball_0_alpha=0,square,distance,1809.3792784496397,5000,0.231,0.769,0.462
139,ball,ball_0_alpha=0,first_mark,intersection,1147.0,5000,0.792,0.20799999999999996,0.4159999999999999
139,ball,ball_0_alpha=0,first_mark,shared_area,14.326226507715566,5000,0.4078,0.5922000000000001,0.8156
139,ball,ball_0_alpha=0,first_mark,distance,3675.498680208333,5000,0.4258,0.5742,0.8516
139,segment,segment_1_alpha=0,product,intersection,48.0,5000,0.622,0.378,0.756
139,segment,segment_1_alpha=0,product,distance,2594.92611884,5000,0.373,0.627,0.746
139,segment,segment_1_alpha=0,product,angle,4848.97920860201,5000,0.233,0.767,0.466
139,segment,segment_1_alpha=0,square,intersection,51.0,5000,0.9428,0.05720000000000003,0.11440000000000006
139,segment,segment_1_alpha=0,square,distance,2533.01385414,5000,0.2084,0.7916,0.4168
139,segment,segment_1_alpha=0,square,angle,4823.938865407044,5000,0.454,0.546,0.908
139,segment,segment_1_alpha=0,first_mark,intersection,99.0,5000,0.9344,0.06559999999999999,0.13119999999999998
139,segment,segment_1_alpha=0,first_mark,distance,5127.939972980001,5000,0.3206,0.6794,0.6412
139,segment,segment_1_alpha=0,first_mark,angle,9672.918074009054,5000,0.2112,0.7888,0.4224
139,segment,segment_2_alpha=0,product,intersection,48.0,5000,0.6284,0.37160000000000004,0.7432000000000001
139,segment,segment_2_alpha=0,product,distance,2594.92611884,5000,0.37,0.63,0.74
139,segment,segment_2_alpha=0,product,angle,4848.97920860201,5000,0.2392,0.7608,0.4784
139,segment,segment_2_alpha=0,square,intersection,51.0,5000,0.9448,0.05520000000000003,0.11040000000000005
139,segment,segment_2_alpha=0,square,distance,2533.01385414,5000,0.2104,0.7896,0.4208
139,segment,segment_2_alpha=0,square,angle,4823.938865407044,5000,0.439,0.5609999999999999,0.878
139,segment,segment_2_alpha=0,first_mark,intersection,99.0,5000,0.933,0.06699999999999995,0.1339999999999999
139,segment,segment_2_alpha=0,first_mark,distance,5127.939972980001,5000,0.3138,0.6861999999999999,0.6276
139,segment,segment_2_alpha=0,first_mark,angle,9672.918074009054,5000,0.2172,0.7827999999999999,0.4344
139,ball,ball_0_alpha=0.25,product,intersection,648.0,5000,0.2404,0.7596,0.4808
139,ball,ball_0_alpha=0.25,product,shared_area,8.183255156581966,5000,0.213,0.787,0.426
139,ball,ball_0_alpha=0.25,product,distance,2300.3569006992625,5000,0.5908,0.4092,0.8184
139,ball,ball_0_alpha=0.25,square,intersection,548.0,5000,0.8676,0.13239999999999996,0.2647999999999999
139,ball,ball_0_alpha=0.25,square,shared_area,6.92828673407295,5000,0.5622,0.43779999999999997,0.8755999999999999
139,ball,ball_0_alpha=0.25,square,distance,1804.5766842603157,5000,0.6166,0.38339999999999996,0.7667999999999999
139,ball,ball_0_alpha=0.25,first_mark,intersection,1196.0,5000,0.3894,0.6106,0.7788
139,ball,ball_0_alpha=0.25,first_mark,shared_area,15.111541890654912,5000,0.1848,0.8152,0.3696
139,ball,ball_0_alpha=0.25,first_mark,distance,4104.933584959578,5000,0.6142,0.38580000000000003,0.7716000000000001
139,segment,segment_1_alpha=0.25,product,intersection,24.0,5000,0.0774,0.9226,0.1548
139,segment,segment_1_alpha=0.25,product,distance,1978.0520631999998,5000,0.4626,0.5374,0.9252
139,segment,segment_1_alpha=0.25,product,angle,3891.539073282604,5000,0.4094,0.5906,0.8188
139,segment,segment_1_alpha=0.25,square,intersection,48.0,5000,0.844,0.15600000000000003,0.31200000000000006
139,segment,segment_1_alpha=0.25,square,distance,2524.65527905,5000,0.86,0.14,0.28
139,segment,segment_1_alpha=0.25,square,angle,5006.188462152422,5000,0.8694,0.13060000000000005,0.2612000000000001
139,segment,segment_1_alpha=0.25,first_mark,intersection,72.0,5000,0.245,0.755,0.49
139,segment,segment_1_alpha=0.25,first_mark,distance,4502.70734225,5000,0.551,0.44899999999999995,0.8979999999999999
139,segment,segment_1_alpha=0.25,first_mark,angle,8897.727535435028,5000,0.5112,0.4888,0.9776
139,segment,segment_2_alpha=0.25,product,intersection,46.0,5000,0.3638,0.6362,0.7276
139,segment,segment_2_alpha=0.25,product,distance,2850.16726636,5000,0.5168,0.48319999999999996,0.9663999999999999
139,segment,segment_2_alpha=0.25,product,angle,5714.639356829843,5000,0.6532,0.3468,0.6936
139,segment,segment_2_alpha=0.25,square,intersection,45.0,5000,0.6014,0.39859999999999995,0.7971999999999999
139,segment,segment_2_alpha=0.25,square,distance,2528.9128206600003,5000,0.5916,0.4084,0.8168
139,segment,segment_2_alpha=0.25,square,angle,4973.332932377256,5000,0.0658,0.9342,0.1316
139,segment,segment_2_alpha=0.25,first_mark,intersection,91.0,5000,0.439,0.5609999999999999,0.878
139,segment,segment_2_alpha=0.25,first_mark,distance,5379.08008702,5000,0.524,0.476,0.952
139,segment,segment_2_alpha=0.25,first_mark,angle,10687.972289207097,5000,0.604,0.396,0.792
139,ball,ball_0_alpha=0.5,product,intersection,628.0,5000,0.1564,0.8436,0.3128
139,ball,ball_0_alpha=0.5,product,shared_area,8.478886255516697,5000,0.5058,0.4942,0.9884
139,ball,ball_0_alpha=0.5,product,distance,2331.6588210754426,5000,0.7146,0.2854,0.5708
139,ball,ball_0_alpha=0.5,square,intersection,526.0,5000,0.4846,0.5154000000000001,0.9692
139,ball,ball_0_alpha=0.5,square,shared_area,6.618723919255778,5000,0.3172,0.6828000000000001,0.6344
