Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
152,ball,ball_0_alpha=0,product,intersection,702.0,5000,0.985,0.015000000000000013,0.030000000000000027
152,ball,ball_0_alpha=0,product,shared_area,8.630574908710559,5000,0.962,0.038000000000000034,0.07600000000000007
152,ball,ball_0_alpha=0,product,distance,1848.5614903849175,5000,0.0238,0.9762,0.0476
152,ball,ball_0_alpha=0,square,intersection,568.0,5000,0.061,0.9390000000000001,0.122
152,ball,ball_0_alpha=0,square,shared_area,6.928042993942042,5000,0.1008,0.8992,0.2016
152,ball,ball_0_alpha=0,square,distance,1988.9455830374623,5000,0.8518,0.1482,0.2964
152,ball,ball_0_alpha=0,first_mark,intersection,1270.0,5000,0.9742,0.025800000000000045,0.05160000000000009
152,ball,ball_0_alpha=0,first_mark,shared_area,15.558617902652598,5000,0.9274,0.0726,0.1452
152,ball,ball_0_alpha=0,first_mark,distance,3837.5070734223805,5000,0.0258,0.9742,0.0516
152,segment,segment_1_alpha=0,product,intersection,70.0,5000,0.886,0.11399999999999999,0.22799999999999998
152,segment,segment_1_alpha=0,product,distance,2622.5444246999996,5000,0.0182,0.9818,0.0364
152,segment,segment_1_alpha=0,product,angle,5700.365150347381,5000,0.876,0.124,0.248
152,segment,segment_1_alpha=0,square,intersection,54.0,5000,0.2918,0.7081999999999999,0.5836
152,segment,segment_1_alpha=0,square,distance,2748.49706076,5000,0.8724,0.12760000000000005,0.2552000000000001
152,segment,segment_1_alpha=0,square,angle,5302.036362881322,5000,0.5682,0.43179999999999996,0.8635999999999999
152,segment,segment_1_alpha=0,first_mark,intersection,124.0,5000,0.8914,0.10860000000000003,0.21720000000000006
152,segment,segment_1_alpha=0,first_mark,distance,5371.04148546,5000,0.0222,0.9778,0.0444
152,segment,segment_1_alpha=0,first_mark,angle,11002.401513228702,5000,0.8814,0.11860000000000004,0.23720000000000008
152,segment,segment_2_alpha=0,product,intersection,70.0,5000,0.8872,0.11280000000000001,0.22560000000000002
152,segment,segment_2_alpha=0,product,distance,2622.5444246999996,5000,0.0204,0.9796,0.0408
152,segment,segment_2_alpha=0,product,angle,5700.365150347381,5000,0.8748,0.12519999999999998,0.25039999999999996
152,segment,segment_2_alpha=0,square,intersection,54.0,5000,0.2926,0.7074,0.5852
152,segment,segment_2_alpha=0,square,distance,2748.49706076,5000,0.8658,0.13419999999999999,0.26839999999999997
152,segment,segment_2_alpha=0,square,angle,5302.036362881322,5000,0.567,0.43300000000000005,0.8660000000000001
152,segment,segment_2_alpha=0,first_mark,intersection,124.0,5000,0.9004,0.09960000000000002,0.19920000000000004
152,segment,segment_2_alpha=0,first_mark,distance,5371.04148546,5000,0.0208,0.9792,0.0416
152,segment,segment_2_alpha=0,first_mark,angle,11002.401513228702,5000,0.8728,0.12719999999999998,0.25439999999999996
152,ball,ball_0_alpha=0.25,product,intersection,826.0,5000,0.744,0.256,0.512
152,ball,ball_0_alpha=0.25,product,shared_area,10.688517421482526,5000,0.9052,0.0948,0.1896
152,ball,ball_0_alpha=0.25,product,distance,2682.620260233738,5000,0.406,0.594,0.812
152,ball,ball_0_alpha=0.25,square,intersection,542.0,5000,0.0686,0.9314,0.1372
152,ball,ball_0_alpha=0.25,square,shared_area,6.520146359850756,5000,0.0558,0.9442,0.1116
152,ball,ball_0_alpha=0.25,square,distance,1960.9534558857924,5000,0.9642,0.035800000000000054,0.07160000000000011
152,ball,ball_0_alpha=0.25,first_mark,intersection,1368.0,5000,0.5312,0.4688,0.9376
152,ball,ball_0_alpha=0.25,first_mark,shared_area,17.208663781333282,5000,0.7786,0.22140000000000004,0.4428000000000001
152,ball,ball_0_alpha=0.25,first_mark,distance,4643.573716119531,5000,0.5618,0.43820000000000003,0.8764000000000001
152,segment,segment_1_alpha=0.25,product,intersection,58.0,5000,0.9774,0.022599999999999953,0.04519999999999991
152,segment,segment_1_alpha=0.25,product,distance,1985.22250828,5000,0.1088,0.8912,0.2176
152,segment,segment_1_alpha=0.25,product,angle,3665.8864193058457,5000,0.3882,0.6118,0.7764
152,segment,segment_1_alpha=0.25,square,intersection,48.0,5000,0.264,0.736,0.528
152,segment,segment_1_alpha=0.25,square,distance,2709.1768408800003,5000,0.8946,0.10540000000000005,0.2108000000000001
152,segment,segment_1_alpha=0.25,square,angle,4811.348549821164,5000,0.7446,0.25539999999999996,0.5107999999999999
152,segment,segment_1_alpha=0.25,first_mark,intersection,106.0,5000,0.9792,0.02080000000000004,0.04160000000000008
152,segment,segment_1_alpha=0.25,first_mark,distance,4694.3993491599995,5000,0.1938,0.8062,0.3876
152,segment,segment_1_alpha=0.25,first_mark,angle,8477.23496912701,5000,0.4476,0.5524,0.8952
152,segment,segment_2_alpha=0.25,product,intersection,76.0,5000,0.983,0.017000000000000015,0.03400000000000003
152,segment,segment_2_alpha=0.25,product,distance,2772.31771566,5000,0.1218,0.8782,0.2436
152,segment,segment_2_alpha=0.25,product,angle,5070.04268165947,5000,0.3754,0.6246,0.7508
152,segment,segment_2_alpha=0.25,square,intersection,45.0,5000,0.085,0.915,0.17
152,segment,segment_2_alpha=0.25,square,distance,2806.909544100001,5000,0.9988,0.0011999999999999789,0.0023999999999999577
152,segment,segment_2_alpha=0.25,square,angle,4984.654716955826,5000,0.9944,0.005600000000000049,0.011200000000000099
152,segment,segment_2_alpha=0.25,first_mark,intersection,121.0,5000,0.9762,0.023800000000000043,0.04760000000000009
152,segment,segment_2_alpha=0.25,first_mark,distance,5579.22725976,5000,0.38,0.62,0.76
152,segment,segment_2_alpha=0.25,first_mark,angle,10054.697398615297,5000,0.6284,0.37160000000000004,0.7432000000000001
152,ball,ball_0_alpha=0.5,product,intersection,990.0,5000,0.7414,0.25860000000000005,0.5172000000000001
152,ball,ball_0_alpha=0.5,product,shared_area,12.392887235880062,5000,0.671,0.32899999999999996,0.6579999999999999
152,ball,ball_0_alpha=0.5,product,distance,3098.0939465656174,5000,0.3492,0.6508,0.6984
152,ball,ball_0_alpha=0.5,square,intersection,531.0,5000,0.0858,0.9142,0.1716
152,ball,ball_0_alpha=0.5,square,shared_area,6.657499263973895,5000,0.125,0.875,0.25
152,ball,ball_0_alpha=0.5,square,distance,1818.2041965190624,5000,0.582,0.41800000000000004,0.8360000000000001
152,ball,ball_0_alpha=0.5,first_mark,intersection,1521.0,5000,0.5516,0.4484,0.8968
152,ball,ball_0_alpha=0.5,first_mark,shared_area,19.050386499853957,5000,0.4648,0.5352,0.9296
152,ball,ball_0_alpha=0.5,first_mark,distance,4916.29814308468,5000,0.3306,0.6694,0.6612
152,segment,segment_1_alpha=0.5,product,intersection,32.0,5000,0.9362,0.06379999999999997,0.12759999999999994
152,segment,segment_1_alpha=0.5,product,distance,1160.88784186,5000,0.0434,0.9566,0.0868
152,segment,segment_1_alpha=0.5,product,angle,2531.5337971532454,5000,0.5108,0.48919999999999997,0.9783999999999999
152,segment,segment_1_alpha=0.5,square,intersection,39.0,5000,0.2892,0.7108,0.5784
152,segment,segment_1_alpha=0.5,square,distance,2435.3616151,5000,0.058,0.942,0.116
152,segment,segment_1_alpha=0.5,square,angle,4919.069965014278,5000,0.3716,0.6284000000000001,0.7432
152,segment,segment_1_alpha=0.5,first_mark,intersection,71.0,5000,0.8882,0.11180000000000001,0.22360000000000002
152,segment,segment_1_alpha=0.5,first_mark,distance,3596.2494569600003,5000,0.0428,0.9572,0.0856
152,segment,segment_1_alpha=0.5,first_mark,angle,7450.603762167524,5000,0.465,0.5349999999999999,0.93
152,segment,segment_2_alpha=0.5,product,intersection,50.0,5000,0.925,0.07499999999999996,0.1499999999999999
152,segment,segment_2_alpha=0.5,product,distance,2130.5810187,5000,0.0964,0.9036,0.1928
152,segment,segment_2_alpha=0.5,product,angle,3784.8635142672842,5000,0.0002,0.9998,0.0004
152,segment,segment_2_alpha=0.5,square,intersection,47.0,5000,0.5786,0.4214,0.8428
152,segment,segment_2_alpha=0.5,square,distance,2723.0086388299997,5000,0.3532,0.6468,0.7064
152,segment,segment_2_alpha=0.5,square,angle,5857.067464835257,5000,0.9998,0.00019999999999997797,0.00039999999999995595
152,segment,segment_2_alpha=0.5,first_mark,intersection,97.0,5000,0.9708,0.029200000000000004,0.05840000000000001
152,segment,segment_2_alpha=0.5,first_mark,distance,4853.58965753,5000,0.0992,0.9008,0.1984
152,segment,segment_2_alpha=0.5,first_mark,angle,9641.93097910254,5000,0.0884,0.9116,0.1768
152,ball,ball_0_alpha=0.75,product,intersection,1088.0,5000,0.5436,0.45640000000000003,0.9128000000000001
152,ball,ball_0_alpha=0.75,product,shared_area,14.384224306020833,5000,0.8426,0.15739999999999998,0.31479999999999997
152,ball,ball_0_alpha=0.75,product,distance,3529.63409912086,5000,0.3052,0.6948,0.6104
152,ball,ball_0_alpha=0.75,square,intersection,523.0,5000,0.541,0.45899999999999996,0.9179999999999999
152,ball,ball_0_alpha=0.75,square,shared_area,6.263751770795322,5000,0.2014,0.7986,0.4028
152,ball,ball_0_alpha=0.75,square,distance,1730.0539499467743,5000,0.6256,0.37439999999999996,0.7487999999999999
152,ball,ball_0_alpha=0.75,first_mark,intersection,1611.0,5000,0.5902,0.40980000000000005,0.8196000000000001
