Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
9,ball,ball_0_alpha=0,product,intersection,430.0,5000,0.4652,0.5347999999999999,0.9304
9,ball,ball_0_alpha=0,product,shared_area,5.169689058896,5000,0.1596,0.8404,0.3192
9,ball,ball_0_alpha=0,product,distance,1478.8012134337432,5000,0.5718,0.4282,0.8564
9,ball,ball_0_alpha=0,square,intersection,433.0,5000,0.0318,0.9682,0.0636
9,ball,ball_0_alpha=0,square,shared_area,5.502442547452629,5000,0.0184,0.9816,0.0368
9,ball,ball_0_alpha=0,square,distance,1600.2475432866977,5000,0.9886,0.011399999999999966,0.02279999999999993
9,ball,ball_0_alpha=0,first_mark,intersection,863.0,5000,0.0982,0.9018,0.1964
9,ball,ball_0_alpha=0,first_mark,shared_area,10.672131606348628,5000,0.0108,0.9892,0.0216
9,ball,ball_0_alpha=0,first_mark,distance,3079.048756720441,5000,0.7638,0.23619999999999997,0.47239999999999993
9,segment,segment_1_alpha=0,product,intersection,30.0,5000,0.0616,0.9384,0.1232
9,segment,segment_1_alpha=0,product,distance,2050.35209856,5000,0.568,0.43200000000000005,0.8640000000000001
9,segment,segment_1_alpha=0,product,angle,4154.1432960133325,5000,0.8748,0.12519999999999998,0.25039999999999996
9,segment,segment_1_alpha=0,square,intersection,45.0,5000,0.4998,0.5002,0.9996
9,segment,segment_1_alpha=0,square,distance,2213.21722788,5000,0.991,0.009000000000000008,0.018000000000000016
9,segment,segment_1_alpha=0,square,angle,4246.380753064876,5000,0.822,0.17800000000000005,0.3560000000000001
9,segment,segment_1_alpha=0,first_mark,intersection,75.0,5000,0.0662,0.9338,0.1324
9,segment,segment_1_alpha=0,first_mark,distance,4263.56932644,5000,0.7672,0.2328,0.4656
9,segment,segment_1_alpha=0,first_mark,angle,8400.524049078209,5000,0.894,0.10599999999999998,0.21199999999999997
9,segment,segment_2_alpha=0,product,intersection,30.0,5000,0.0662,0.9338,0.1324
9,segment,segment_2_alpha=0,product,distance,2050.35209856,5000,0.5546,0.4454,0.8908
9,segment,segment_2_alpha=0,product,angle,4154.1432960133325,5000,0.8674,0.13260000000000005,0.2652000000000001
9,segment,segment_2_alpha=0,square,intersection,45.0,5000,0.4986,0.5014000000000001,0.9972
9,segment,segment_2_alpha=0,square,distance,2213.21722788,5000,0.9904,0.009600000000000053,0.019200000000000106
9,segment,segment_2_alpha=0,square,angle,4246.380753064876,5000,0.8274,0.17259999999999998,0.34519999999999995
9,segment,segment_2_alpha=0,first_mark,intersection,75.0,5000,0.063,0.937,0.126
9,segment,segment_2_alpha=0,first_mark,distance,4263.56932644,5000,0.7668,0.23319999999999996,0.4663999999999999
9,segment,segment_2_alpha=0,first_mark,angle,8400.524049078209,5000,0.8914,0.10860000000000003,0.21720000000000006
9,ball,ball_0_alpha=0.25,product,intersection,580.0,5000,0.8866,0.11339999999999995,0.2267999999999999
9,ball,ball_0_alpha=0.25,product,shared_area,7.57107631359586,5000,0.7076,0.2924,0.5848
9,ball,ball_0_alpha=0.25,product,distance,1766.1352704878675,5000,0.2892,0.7108,0.5784
9,ball,ball_0_alpha=0.25,square,intersection,439.0,5000,0.064,0.9359999999999999,0.128
9,ball,ball_0_alpha=0.25,square,shared_area,5.790532435214152,5000,0.0744,0.9256,0.1488
9,ball,ball_0_alpha=0.25,square,distance,1567.5238933555947,5000,0.9376,0.06240000000000001,0.12480000000000002
9,ball,ball_0_alpha=0.25,first_mark,intersection,1019.0,5000,0.7258,0.2742,0.5484
9,ball,ball_0_alpha=0.25,first_mark,shared_area,13.361608748810012,5000,0.4384,0.5616,0.8768
9,ball,ball_0_alpha=0.25,first_mark,distance,3333.6591638434625,5000,0.3756,0.6244000000000001,0.7512
9,segment,segment_1_alpha=0.25,product,intersection,38.0,5000,0.7418,0.2582,0.5164
9,segment,segment_1_alpha=0.25,product,distance,1482.4138335599998,5000,0.4702,0.5298,0.9404
9,segment,segment_1_alpha=0.25,product,angle,2672.731584357051,5000,0.2528,0.7472,0.5056
9,segment,segment_1_alpha=0.25,square,intersection,49.0,5000,0.678,0.32199999999999995,0.6439999999999999
9,segment,segment_1_alpha=0.25,square,distance,2128.36070033,5000,0.8154,0.1846,0.3692
9,segment,segment_1_alpha=0.25,square,angle,3907.42847518044,5000,0.1534,0.8466,0.3068
9,segment,segment_1_alpha=0.25,first_mark,intersection,87.0,5000,0.8566,0.14339999999999997,0.28679999999999994
9,segment,segment_1_alpha=0.25,first_mark,distance,3610.77453389,5000,0.558,0.44199999999999995,0.8839999999999999
9,segment,segment_1_alpha=0.25,first_mark,angle,6580.16005953749,5000,0.221,0.779,0.442
9,segment,segment_2_alpha=0.25,product,intersection,38.0,5000,0.5662,0.43379999999999996,0.8675999999999999
9,segment,segment_2_alpha=0.25,product,distance,1638.5095482600002,5000,0.3574,0.6426000000000001,0.7148
9,segment,segment_2_alpha=0.25,product,angle,2920.368499168585,5000,0.1316,0.8684000000000001,0.2632
9,segment,segment_2_alpha=0.25,square,intersection,44.0,5000,0.2454,0.7545999999999999,0.4908
9,segment,segment_2_alpha=0.25,square,distance,2154.12967662,5000,0.81,0.18999999999999995,0.3799999999999999
9,segment,segment_2_alpha=0.25,square,angle,3987.4578660927273,5000,0.433,0.567,0.866
9,segment,segment_2_alpha=0.25,first_mark,intersection,82.0,5000,0.4268,0.5731999999999999,0.8536
9,segment,segment_2_alpha=0.25,first_mark,distance,3792.6392248800003,5000,0.437,0.563,0.874
9,segment,segment_2_alpha=0.25,first_mark,angle,6907.826365261312,5000,0.1414,0.8586,0.2828
9,ball,ball_0_alpha=0.5,product,intersection,854.0,5000,0.982,0.018000000000000016,0.03600000000000003
9,ball,ball_0_alpha=0.5,product,shared_area,11.92183453475542,5000,0.992,0.008000000000000007,0.016000000000000014
9,ball,ball_0_alpha=0.5,product,distance,2357.9731235432587,5000,0.02,0.98,0.04
9,ball,ball_0_alpha=0.5,square,intersection,406.0,5000,0.0512,0.9488,0.1024
9,ball,ball_0_alpha=0.5,square,shared_area,5.224600228332271,5000,0.0366,0.9634,0.0732
9,ball,ball_0_alpha=0.5,square,distance,1468.3610524059068,5000,0.9794,0.02059999999999995,0.0411999999999999
9,ball,ball_0_alpha=0.5,first_mark,intersection,1260.0,5000,0.9826,0.01739999999999997,0.03479999999999994
9,ball,ball_0_alpha=0.5,first_mark,shared_area,17.14643476308769,5000,0.994,0.006000000000000005,0.01200000000000001
9,ball,ball_0_alpha=0.5,first_mark,distance,3826.334175949165,5000,0.0244,0.9756,0.0488
9,segment,segment_1_alpha=0.5,product,intersection,28.0,5000,0.3726,0.6274,0.7452
9,segment,segment_1_alpha=0.5,product,distance,1348.1123496599998,5000,0.089,0.911,0.178
9,segment,segment_1_alpha=0.5,product,angle,2522.3881306676303,5000,0.1474,0.8526,0.2948
9,segment,segment_1_alpha=0.5,square,intersection,44.0,5000,0.462,0.538,0.924
9,segment,segment_1_alpha=0.5,square,distance,2095.2795182299997,5000,0.3928,0.6072,0.7856
9,segment,segment_1_alpha=0.5,square,angle,3942.1340642121568,5000,0.59,0.41000000000000003,0.8200000000000001
9,segment,segment_1_alpha=0.5,first_mark,intersection,72.0,5000,0.388,0.612,0.776
9,segment,segment_1_alpha=0.5,first_mark,distance,3443.39186789,5000,0.1096,0.8904,0.2192
9,segment,segment_1_alpha=0.5,first_mark,angle,6464.522194879788,5000,0.1928,0.8072,0.3856
9,segment,segment_2_alpha=0.5,product,intersection,34.0,5000,0.221,0.779,0.442
9,segment,segment_2_alpha=0.5,product,distance,1725.30685718,5000,0.0072,0.9928,0.0144
9,segment,segment_2_alpha=0.5,product,angle,3046.597318043566,5000,0.0016,0.9984,0.0032
9,segment,segment_2_alpha=0.5,square,intersection,45.0,5000,0.4246,0.5754,0.8492
9,segment,segment_2_alpha=0.5,square,distance,2158.9376678400004,5000,0.3118,0.6881999999999999,0.6236
9,segment,segment_2_alpha=0.5,square,angle,4418.422312138977,5000,1.0,0.0,0.0
