Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
128,ball,ball_0_alpha=0,product,intersection,670.0,5000,0.6376,0.36240000000000006,0.7248000000000001
128,ball,ball_0_alpha=0,product,shared_area,8.62682485446257,5000,0.7758,0.22419999999999995,0.4483999999999999
128,ball,ball_0_alpha=0,product,distance,2184.735816540501,5000,0.3648,0.6352,0.7296
128,ball,ball_0_alpha=0,square,intersection,768.0,5000,0.6056,0.3944,0.7888
128,ball,ball_0_alpha=0,square,shared_area,9.601993788524457,5000,0.6898,0.31020000000000003,0.6204000000000001
128,ball,ball_0_alpha=0,square,distance,2566.7707487611856,5000,0.477,0.523,0.954
128,ball,ball_0_alpha=0,first_mark,intersection,1438.0,5000,0.6984,0.3016,0.6032
128,ball,ball_0_alpha=0,first_mark,shared_area,18.22881864298703,5000,0.8566,0.14339999999999997,0.28679999999999994
128,ball,ball_0_alpha=0,first_mark,distance,4751.506565301687,5000,0.359,0.641,0.718
128,segment,segment_1_alpha=0,product,intersection,38.0,5000,0.101,0.899,0.202
128,segment,segment_1_alpha=0,product,distance,3077.72505874,5000,0.4026,0.5973999999999999,0.8052
128,segment,segment_1_alpha=0,product,angle,6502.827117908525,5000,0.8174,0.18259999999999998,0.36519999999999997
128,segment,segment_1_alpha=0,square,intersection,57.0,5000,0.6462,0.3538,0.7076
128,segment,segment_1_alpha=0,square,distance,3587.97933957,5000,0.5374,0.4626,0.9252
128,segment,segment_1_alpha=0,square,angle,7418.337129338622,5000,0.9884,0.011600000000000055,0.02320000000000011
128,segment,segment_1_alpha=0,first_mark,intersection,95.0,5000,0.147,0.853,0.294
128,segment,segment_1_alpha=0,first_mark,distance,6665.70439831,5000,0.4056,0.5944,0.8112
128,segment,segment_1_alpha=0,first_mark,angle,13921.164247247147,5000,0.9168,0.08320000000000005,0.1664000000000001
128,segment,segment_2_alpha=0,product,intersection,38.0,5000,0.1022,0.8978,0.2044
128,segment,segment_2_alpha=0,product,distance,3077.72505874,5000,0.4048,0.5952,0.8096
128,segment,segment_2_alpha=0,product,angle,6502.827117908525,5000,0.807,0.19299999999999995,0.3859999999999999
128,segment,segment_2_alpha=0,square,intersection,57.0,5000,0.6384,0.36160000000000003,0.7232000000000001
