Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
61,ball,ball_0_alpha=0,product,intersection,608.0,5000,0.425,0.575,0.85
61,ball,ball_0_alpha=0,product,shared_area,6.796589059545665,5000,0.1756,0.8244,0.3512
61,ball,ball_0_alpha=0,product,distance,1900.2028059380636,5000,0.4222,0.5778,0.8444
61,ball,ball_0_alpha=0,square,intersection,686.0,5000,0.4752,0.5247999999999999,0.9504
61,ball,ball_0_alpha=0,square,shared_area,8.546555012379802,5000,0.9342,0.06579999999999997,0.13159999999999994
61,ball,ball_0_alpha=0,square,distance,2133.189082007919,5000,0.6794,0.3206,0.6412
61,ball,ball_0_alpha=0,first_mark,intersection,1294.0,5000,0.4142,0.5858,0.8284
61,ball,ball_0_alpha=0,first_mark,shared_area,15.343144071925467,5000,0.3946,0.6053999999999999,0.7892
61,ball,ball_0_alpha=0,first_mark,distance,4033.3918879459825,5000,0.4354,0.5646,0.8708
61,segment,segment_1_alpha=0,product,intersection,36.0,5000,0.0236,0.9764,0.0472
61,segment,segment_1_alpha=0,product,distance,2698.3758896199997,5000,0.4434,0.5566,0.8868
61,segment,segment_1_alpha=0,product,angle,5164.489412046706,5000,0.0826,0.9174,0.1652
61,segment,segment_1_alpha=0,square,intersection,67.0,5000,0.9614,0.03859999999999997,0.07719999999999994
61,segment,segment_1_alpha=0,square,distance,3016.2665799599995,5000,0.6402,0.3598,0.7196
61,segment,segment_1_alpha=0,square,angle,6043.982318257122,5000,0.025,0.975,0.05
61,segment,segment_1_alpha=0,first_mark,intersection,103.0,5000,0.2092,0.7908,0.4184
61,segment,segment_1_alpha=0,first_mark,distance,5714.64246958,5000,0.4574,0.5426,0.9148
61,segment,segment_1_alpha=0,first_mark,angle,11208.471730303827,5000,0.0624,0.9376,0.1248
61,segment,segment_2_alpha=0,product,intersection,36.0,5000,0.0286,0.9714,0.0572
61,segment,segment_2_alpha=0,product,distance,2698.3758896199997,5000,0.4238,0.5762,0.8476
61,segment,segment_2_alpha=0,product,angle,5164.489412046706,5000,0.08,0.92,0.16
61,segment,segment_2_alpha=0,square,intersection,67.0,5000,0.9634,0.036599999999999966,0.07319999999999993
61,segment,segment_2_alpha=0,square,distance,3016.2665799599995,5000,0.653,0.347,0.694
61,segment,segment_2_alpha=0,square,angle,6043.982318257122,5000,0.0292,0.9708,0.0584
61,segment,segment_2_alpha=0,first_mark,intersection,103.0,5000,0.2264,0.7736000000000001,0.4528
61,segment,segment_2_alpha=0,first_mark,distance,5714.64246958,5000,0.449,0.5509999999999999,0.898
61,segment,segment_2_alpha=0,first_mark,angle,11208.471730303827,5000,0.0636,0.9364,0.1272
61,ball,ball_0_alpha=0.25,product,intersection,784.0,5000,0.7212,0.27880000000000005,0.5576000000000001
61,ball,ball_0_alpha=0.25,product,shared_area,9.832883258699507,5000,0.7232,0.27680000000000005,0.5536000000000001
61,ball,ball_0_alpha=0.25,product,distance,2312.8847151948466,5000,0.5344,0.4656,0.9312
61,ball,ball_0_alpha=0.25,square,intersection,703.0,5000,0.5294,0.4706,0.9412
61,ball,ball_0_alpha=0.25,square,shared_area,8.832288608978804,5000,0.6544,0.3456,0.6912
61,ball,ball_0_alpha=0.25,square,distance,2113.988933779854,5000,0.063,0.937,0.126
61,ball,ball_0_alpha=0.25,first_mark,intersection,1487.0,5000,0.7532,0.24680000000000002,0.49360000000000004
