Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
92,ball,ball_0_alpha=0,product,intersection,530.0,5000,0.0106,0.9894,0.0212
92,ball,ball_0_alpha=0,product,shared_area,6.9203594808077185,5000,0.0822,0.9178,0.1644
92,ball,ball_0_alpha=0,product,distance,1969.562939176698,5000,0.9742,0.025800000000000045,0.05160000000000009
92,ball,ball_0_alpha=0,square,intersection,678.0,5000,0.055,0.945,0.11
92,ball,ball_0_alpha=0,square,shared_area,8.452039458300229,5000,0.0658,0.9342,0.1316
92,ball,ball_0_alpha=0,square,distance,2090.6205464236928,5000,0.7394,0.26060000000000005,0.5212000000000001
92,ball,ball_0_alpha=0,first_mark,intersection,1208.0,5000,0.0022,0.9978,0.0044
92,ball,ball_0_alpha=0,first_mark,shared_area,15.37239893910795,5000,0.0102,0.9898,0.0204
92,ball,ball_0_alpha=0,first_mark,distance,4060.1834856003907,5000,0.9704,0.02959999999999996,0.05919999999999992
92,segment,segment_1_alpha=0,product,intersection,44.0,5000,0.222,0.778,0.444
92,segment,segment_1_alpha=0,product,distance,2734.08797032,5000,0.9496,0.0504,0.1008
92,segment,segment_1_alpha=0,product,angle,5540.890999124058,5000,0.6474,0.3526,0.7052
92,segment,segment_1_alpha=0,square,intersection,58.0,5000,0.5254,0.4746,0.9492
92,segment,segment_1_alpha=0,square,distance,2999.8055797999996,5000,0.768,0.23199999999999998,0.46399999999999997
92,segment,segment_1_alpha=0,square,angle,6280.7398704556645,5000,0.3176,0.6824,0.6352
92,segment,segment_1_alpha=0,first_mark,intersection,102.0,5000,0.2396,0.7604,0.4792
92,segment,segment_1_alpha=0,first_mark,distance,5733.893550119999,5000,0.9464,0.05359999999999998,0.10719999999999996
92,segment,segment_1_alpha=0,first_mark,angle,11821.630869579722,5000,0.6124,0.38759999999999994,0.7751999999999999
92,segment,segment_2_alpha=0,product,intersection,44.0,5000,0.2316,0.7684,0.4632
92,segment,segment_2_alpha=0,product,distance,2734.08797032,5000,0.9462,0.05379999999999996,0.10759999999999992
92,segment,segment_2_alpha=0,product,angle,5540.890999124058,5000,0.6608,0.33919999999999995,0.6783999999999999
92,segment,segment_2_alpha=0,square,intersection,58.0,5000,0.5202,0.4798,0.9596
92,segment,segment_2_alpha=0,square,distance,2999.8055797999996,5000,0.772,0.22799999999999998,0.45599999999999996
92,segment,segment_2_alpha=0,square,angle,6280.7398704556645,5000,0.304,0.696,0.608
92,segment,segment_2_alpha=0,first_mark,intersection,102.0,5000,0.238,0.762,0.476
92,segment,segment_2_alpha=0,first_mark,distance,5733.893550119999,5000,0.9448,0.05520000000000003,0.11040000000000005
92,segment,segment_2_alpha=0,first_mark,angle,11821.630869579722,5000,0.6156,0.38439999999999996,0.7687999999999999
92,ball,ball_0_alpha=0.25,product,intersection,672.0,5000,0.1546,0.8454,0.3092
92,ball,ball_0_alpha=0.25,product,shared_area,8.56814223394003,5000,0.5832,0.41679999999999995,0.8335999999999999
92,ball,ball_0_alpha=0.25,product,distance,2433.1526809033876,5000,0.948,0.052000000000000046,0.10400000000000009
92,ball,ball_0_alpha=0.25,square,intersection,661.0,5000,0.2282,0.7718,0.4564
92,ball,ball_0_alpha=0.25,square,shared_area,7.673520463504792,5000,0.1732,0.8268,0.3464
92,ball,ball_0_alpha=0.25,square,distance,2122.5795999496513,5000,0.1812,0.8188,0.3624
92,ball,ball_0_alpha=0.25,first_mark,intersection,1333.0,5000,0.0806,0.9194,0.1612
92,ball,ball_0_alpha=0.25,first_mark,shared_area,16.241662697444823,5000,0.3768,0.6232,0.7536
92,ball,ball_0_alpha=0.25,first_mark,distance,4555.732280853039,5000,0.9406,0.05940000000000001,0.11880000000000002
92,segment,segment_1_alpha=0.25,product,intersection,72.0,5000,0.9776,0.022399999999999975,0.04479999999999995
92,segment,segment_1_alpha=0.25,product,distance,2304.21991128,5000,0.9638,0.03620000000000001,0.07240000000000002
92,segment,segment_1_alpha=0.25,product,angle,4408.464825126586,5000,0.7044,0.2956,0.5912
92,segment,segment_1_alpha=0.25,square,intersection,66.0,5000,0.22,0.78,0.44
92,segment,segment_1_alpha=0.25,square,distance,2946.5652812099997,5000,0.8606,0.13939999999999997,0.27879999999999994
92,segment,segment_1_alpha=0.25,square,angle,5827.647676655636,5000,0.5934,0.40659999999999996,0.8131999999999999
92,segment,segment_1_alpha=0.25,first_mark,intersection,138.0,5000,0.9764,0.023599999999999954,0.04719999999999991
92,segment,segment_1_alpha=0.25,first_mark,distance,5250.78519249,5000,0.9562,0.04379999999999995,0.0875999999999999
92,segment,segment_1_alpha=0.25,first_mark,angle,10236.112501782221,5000,0.687,0.31299999999999994,0.6259999999999999
92,segment,segment_2_alpha=0.25,product,intersection,78.0,5000,0.8094,0.1906,0.3812
92,segment,segment_2_alpha=0.25,product,distance,2998.99147096,5000,0.9226,0.07740000000000002,0.15480000000000005
92,segment,segment_2_alpha=0.25,product,angle,5617.164684128558,5000,0.3202,0.6798,0.6404
92,segment,segment_2_alpha=0.25,square,intersection,70.0,5000,0.3618,0.6382,0.7236
92,segment,segment_2_alpha=0.25,square,distance,2984.02928149,5000,0.4836,0.5164,0.9672
92,segment,segment_2_alpha=0.25,square,angle,5937.122292640711,5000,0.5228,0.47719999999999996,0.9543999999999999
92,segment,segment_2_alpha=0.25,first_mark,intersection,148.0,5000,0.8168,0.18320000000000003,0.36640000000000006
92,segment,segment_2_alpha=0.25,first_mark,distance,5983.020752449999,5000,0.9106,0.08940000000000003,0.17880000000000007
92,segment,segment_2_alpha=0.25,first_mark,angle,11554.286976769268,5000,0.3132,0.6868000000000001,0.6264
92,ball,ball_0_alpha=0.5,product,intersection,1158.0,5000,0.7092,0.29079999999999995,0.5815999999999999
92,ball,ball_0_alpha=0.5,product,shared_area,15.476566745262954,5000,0.919,0.08099999999999996,0.16199999999999992
92,ball,ball_0_alpha=0.5,product,distance,3428.3983033063087,5000,0.4248,0.5751999999999999,0.8496
92,ball,ball_0_alpha=0.5,square,intersection,636.0,5000,0.4796,0.5204,0.9592
92,ball,ball_0_alpha=0.5,square,shared_area,7.795840333036264,5000,0.2208,0.7792,0.4416
92,ball,ball_0_alpha=0.5,square,distance,1931.315883382184,5000,0.4512,0.5488,0.9024
92,ball,ball_0_alpha=0.5,first_mark,intersection,1794.0,5000,0.7774,0.22260000000000002,0.44520000000000004
92,ball,ball_0_alpha=0.5,first_mark,shared_area,23.272407078299217,5000,0.9472,0.05279999999999996,0.10559999999999992
92,ball,ball_0_alpha=0.5,first_mark,distance,5359.714186688493,5000,0.3886,0.6113999999999999,0.7772
92,segment,segment_1_alpha=0.5,product,intersection,46.0,5000,0.8824,0.11760000000000004,0.23520000000000008
92,segment,segment_1_alpha=0.5,product,distance,1789.3764381,5000,0.7096,0.2904,0.5808
92,segment,segment_1_alpha=0.5,product,angle,3430.170551167921,5000,0.0532,0.9468,0.1064
92,segment,segment_1_alpha=0.5,square,intersection,60.0,5000,0.6342,0.3658,0.7316
92,segment,segment_1_alpha=0.5,square,distance,2873.9913775100003,5000,0.6494,0.3506,0.7012
92,segment,segment_1_alpha=0.5,square,angle,5988.700618514991,5000,0.082,0.918,0.164
92,segment,segment_1_alpha=0.5,first_mark,intersection,106.0,5000,0.9412,0.05879999999999996,0.11759999999999993
92,segment,segment_1_alpha=0.5,first_mark,distance,4663.3678156099995,5000,0.7068,0.2932,0.5864
92,segment,segment_1_alpha=0.5,first_mark,angle,9418.871169682912,5000,0.0504,0.9496,0.1008
92,segment,segment_2_alpha=0.5,product,intersection,64.0,5000,0.6162,0.38380000000000003,0.7676000000000001
92,segment,segment_2_alpha=0.5,product,distance,3000.26878012,5000,0.523,0.477,0.954
92,segment,segment_2_alpha=0.5,product,angle,5555.049405364236,5000,0.0,1.0,0.0
92,segment,segment_2_alpha=0.5,square,intersection,63.0,5000,0.6254,0.37460000000000004,0.7492000000000001
92,segment,segment_2_alpha=0.5,square,distance,3018.05053324,5000,0.071,0.929,0.142
92,segment,segment_2_alpha=0.5,square,angle,6940.670573560141,5000,1.0,0.0,0.0
92,segment,segment_2_alpha=0.5,first_mark,intersection,127.0,5000,0.7456,0.25439999999999996,0.5087999999999999
92,segment,segment_2_alpha=0.5,first_mark,distance,6018.31931336,5000,0.4774,0.5226,0.9548
92,segment,segment_2_alpha=0.5,first_mark,angle,12495.719978924377,5000,0.12,0.88,0.24
92,ball,ball_0_alpha=0.75,product,intersection,1246.0,5000,0.8852,0.11480000000000001,0.22960000000000003
92,ball,ball_0_alpha=0.75,product,shared_area,16.50299585683142,5000,0.958,0.04200000000000004,0.08400000000000007
92,ball,ball_0_alpha=0.75,product,distance,3417.830208968337,5000,0.0818,0.9182,0.1636
92,ball,ball_0_alpha=0.75,square,intersection,617.0,5000,0.2406,0.7594,0.4812
92,ball,ball_0_alpha=0.75,square,shared_area,7.716898742794296,5000,0.1752,0.8248,0.3504
92,ball,ball_0_alpha=0.75,square,distance,1948.4194414180943,5000,0.9538,0.04620000000000002,0.09240000000000004
92,ball,ball_0_alpha=0.75,first_mark,intersection,1863.0,5000,0.9174,0.0826,0.1652
92,ball,ball_0_alpha=0.75,first_mark,shared_area,24.219894599625714,5000,0.9784,0.021599999999999953,0.043199999999999905
92,ball,ball_0_alpha=0.75,first_mark,distance,5366.249650386432,5000,0.1024,0.8976,0.2048
92,segment,segment_1_alpha=0.75,product,intersection,38.0,5000,0.7378,0.2622,0.5244
92,segment,segment_1_alpha=0.75,product,distance,1321.7906367599999,5000,0.1114,0.8886000000000001,0.2228
92,segment,segment_1_alpha=0.75,product,angle,2796.4624946420963,5000,0.3358,0.6642,0.6716
92,segment,segment_1_alpha=0.75,square,intersection,61.0,5000,0.3452,0.6548,0.6904
92,segment,segment_1_alpha=0.75,square,distance,2666.07801625,5000,0.027,0.973,0.054
92,segment,segment_1_alpha=0.75,square,angle,5485.095949724214,5000,0.1898,0.8102,0.3796
92,segment,segment_1_alpha=0.75,first_mark,intersection,99.0,5000,0.6548,0.34519999999999995,0.6903999999999999
92,segment,segment_1_alpha=0.75,first_mark,distance,3987.8686530100003,5000,0.0706,0.9294,0.1412
92,segment,segment_1_alpha=0.75,first_mark,angle,8281.55844436631,5000,0.2814,0.7186,0.5628
92,segment,segment_2_alpha=0.75,product,intersection,66.0,5000,0.465,0.5349999999999999,0.93
92,segment,segment_2_alpha=0.75,product,distance,2840.25014826,5000,0.254,0.746,0.508
92,segment,segment_2_alpha=0.75,product,angle,5070.252494975286,5000,0.0002,0.9998,0.0004
92,segment,segment_2_alpha=0.75,square,intersection,69.0,5000,0.418,0.5820000000000001,0.836
92,segment,segment_2_alpha=0.75,square,distance,3023.25199973,5000,0.8202,0.17979999999999996,0.3595999999999999
92,segment,segment_2_alpha=0.75,square,angle,6788.66301441251,5000,1.0,0.0,0.0
92,segment,segment_2_alpha=0.75,first_mark,intersection,135.0,5000,0.4348,0.5651999999999999,0.8696
92,segment,segment_2_alpha=0.75,first_mark,distance,5863.50214799,5000,0.296,0.704,0.592
92,segment,segment_2_alpha=0.75,first_mark,angle,11858.915509387796,5000,0.183,0.817,0.366
