Model,Alpha,Number of Permutations,f-Mark Type,Weight Type,Rejection Rate
ball_max_shared_area_cont,0.5,1000,product,intersection,0.05500000000000005
ball_max_shared_area_cont,0.5,1000,square,intersection,0.94
ball_max_shared_area_cont,0.5,1000,first_mark,intersection,0.03700000000000003
ball_max_shared_area_cont,0.5,1000,product,shared_area,0.15100000000000002
ball_max_shared_area_cont,0.5,1000,square,shared_area,0.924
ball_max_shared_area_cont,0.5,1000,first_mark,shared_area,0.08299999999999996
