Model,Alpha,Number of Permutations,f-Mark Type,Weight Type,Rejection Rate
ball_max_shared_area_disc,1,1000,product,shared_area,0.355
ball_max_shared_area_disc,1,1000,first_mark,shared_area,0.15500000000000003
ball_max_shared_area_disc,1,1000,product,intersection,0.129
ball_max_shared_area_disc,1,1000,first_mark,intersection,0.07599999999999996
