Model,Alpha,Number of Permutations,f-Mark Type,Weight Type,Rejection Rate
seg_discrete_angle,1,1000,product,intersection,0.040000000000000036
seg_discrete_angle,1,1000,first_mark,intersection,0.04200000000000004
seg_discrete_angle,1,1000,square,intersection,0.05500000000000005
seg_discrete_angle,1,1000,product,angle,0.09199999999999997
seg_discrete_angle,1,1000,first_mark,angle,0.052000000000000046
seg_discrete_angle,1,1000,square,angle,0.239
