Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
2175,ball,ball_bivariate_radius_alpha=0,100,product,intersection,264.0,5000,0.5376,0.46240000000000003,0.9248000000000001
2175,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,1.0953610378241556,5000,0.4902,0.5098,0.9804
2175,ball,ball_bivariate_radius_alpha=0,100,product,distance,5001.843217778034,5000,0.8866,0.11339999999999995,0.2267999999999999
2175,ball,ball_bivariate_radius_alpha=0,100,square,intersection,274.0,5000,0.3596,0.6404000000000001,0.7192
2175,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.149405709077366,5000,0.3636,0.6364000000000001,0.7272
2175,ball,ball_bivariate_radius_alpha=0,100,square,distance,5097.372433111395,5000,0.7908,0.20920000000000005,0.4184000000000001
2175,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,538.0,5000,0.4706,0.5294,0.9412
2175,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,2.2447667469015213,5000,0.3942,0.6058,0.7884
2175,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,10099.215650889431,5000,0.897,0.10299999999999998,0.20599999999999996
2175,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,276.0,5000,0.956,0.04400000000000004,0.08800000000000008
2175,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.2443071324611308,5000,0.9732,0.026800000000000046,0.05360000000000009
2175,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,3879.913763956725,5000,0.0,1.0,0.0
2175,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,277.0,5000,0.5136,0.48640000000000005,0.9728000000000001
2175,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.1653649882084782,5000,0.5072,0.4928,0.9856
2175,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,5036.257601280262,5000,0.0252,0.9748,0.0504
2175,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,553.0,5000,0.985,0.015000000000000013,0.030000000000000027
2175,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,2.409672120669609,5000,0.9916,0.008399999999999963,0.016799999999999926
2175,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,8916.171365236987,5000,0.0,1.0,0.0
2175,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,294.0,5000,0.8272,0.17279999999999995,0.3455999999999999
2175,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,1.3017267849003016,5000,0.8806,0.11939999999999995,0.2387999999999999
2175,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,4760.952360477122,5000,0.0392,0.9608,0.0784
