Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
323,ball,bivariate_radius_alpha=0,product,intersection,212.0,5000,0.653,0.347,0.694
323,ball,bivariate_radius_alpha=0,product,shared_area,1.8795287211252911,5000,0.6176,0.38239999999999996,0.7647999999999999
323,ball,bivariate_radius_alpha=0,product,distance,1564.4859292885678,5000,0.2854,0.7146,0.5708
323,ball,bivariate_radius_alpha=0,square,intersection,206.0,5000,0.2422,0.7578,0.4844
323,ball,bivariate_radius_alpha=0,square,shared_area,1.8600002067625079,5000,0.4068,0.5932,0.8136
323,ball,bivariate_radius_alpha=0,square,distance,1673.455380657368,5000,0.8792,0.12080000000000002,0.24160000000000004
323,ball,bivariate_radius_alpha=0,first_mark,intersection,418.0,5000,0.5336,0.46640000000000004,0.9328000000000001
323,ball,bivariate_radius_alpha=0,first_mark,shared_area,3.739528927887799,5000,0.5812,0.41879999999999995,0.8375999999999999
323,ball,bivariate_radius_alpha=0,first_mark,distance,3237.9413099459352,5000,0.3556,0.6444,0.7112
323,ball,bivariate_radius_alpha=0.25,product,intersection,282.0,5000,0.8774,0.12260000000000004,0.24520000000000008
323,ball,bivariate_radius_alpha=0.25,product,shared_area,2.9810762623632954,5000,0.988,0.01200000000000001,0.02400000000000002
323,ball,bivariate_radius_alpha=0.25,product,distance,2116.5342311833892,5000,0.8882,0.11180000000000001,0.22360000000000002
323,ball,bivariate_radius_alpha=0.25,square,intersection,201.0,5000,0.1836,0.8164,0.3672
323,ball,bivariate_radius_alpha=0.25,square,shared_area,1.5810496934047116,5000,0.0274,0.9726,0.0548
323,ball,bivariate_radius_alpha=0.25,square,distance,1624.4072938318832,5000,0.113,0.887,0.226
323,ball,bivariate_radius_alpha=0.25,first_mark,intersection,483.0,5000,0.834,0.16600000000000004,0.3320000000000001
323,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,4.562125955768007,5000,0.957,0.04300000000000004,0.08600000000000008
323,ball,bivariate_radius_alpha=0.25,first_mark,distance,3740.9415250152724,5000,0.8734,0.12660000000000005,0.2532000000000001
323,ball,bivariate_radius_alpha=0.5,product,intersection,170.0,5000,0.8726,0.12739999999999996,0.2547999999999999
323,ball,bivariate_radius_alpha=0.5,product,shared_area,1.4037949121661986,5000,0.6266,0.37339999999999995,0.7467999999999999
323,ball,bivariate_radius_alpha=0.5,product,distance,1164.6574569359,5000,0.3856,0.6144000000000001,0.7712
323,ball,bivariate_radius_alpha=0.5,square,intersection,208.0,5000,0.4902,0.5098,0.9804
323,ball,bivariate_radius_alpha=0.5,square,shared_area,2.0844763420744155,5000,0.9782,0.02180000000000004,0.04360000000000008
323,ball,bivariate_radius_alpha=0.5,square,distance,1608.2131213287737,5000,0.1396,0.8604,0.2792
323,ball,bivariate_radius_alpha=0.5,first_mark,intersection,378.0,5000,0.9008,0.09919999999999995,0.1983999999999999
323,ball,bivariate_radius_alpha=0.5,first_mark,shared_area,3.4882712542406136,5000,0.8964,0.10360000000000003,0.20720000000000005
323,ball,bivariate_radius_alpha=0.5,first_mark,distance,2772.870578264674,5000,0.3256,0.6744,0.6512
