Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
345,ball,bivariate_radius_alpha=0,product,intersection,52.0,5000,0.0104,0.9896,0.0208
345,ball,bivariate_radius_alpha=0,product,shared_area,0.3610249847973349,5000,0.0386,0.9614,0.0772
345,ball,bivariate_radius_alpha=0,product,distance,635.8953168582495,5000,0.753,0.247,0.494
345,ball,bivariate_radius_alpha=0,square,intersection,104.0,5000,0.9074,0.09260000000000002,0.18520000000000003
345,ball,bivariate_radius_alpha=0,square,shared_area,0.8605471978236052,5000,0.9204,0.0796,0.1592
345,ball,bivariate_radius_alpha=0,square,distance,793.0650065568418,5000,0.8696,0.13039999999999996,0.2607999999999999
345,ball,bivariate_radius_alpha=0,first_mark,intersection,156.0,5000,0.0984,0.9016,0.1968
345,ball,bivariate_radius_alpha=0,first_mark,shared_area,1.2215721826209403,5000,0.179,0.821,0.358
345,ball,bivariate_radius_alpha=0,first_mark,distance,1428.9603234150916,5000,0.805,0.19499999999999995,0.3899999999999999
345,ball,bivariate_radius_alpha=0.25,product,intersection,90.0,5000,0.0892,0.9108,0.1784
345,ball,bivariate_radius_alpha=0.25,product,shared_area,0.8165584255129258,5000,0.4512,0.5488,0.9024
345,ball,bivariate_radius_alpha=0.25,product,distance,916.5631739706139,5000,0.825,0.17500000000000004,0.3500000000000001
345,ball,bivariate_radius_alpha=0.25,square,intersection,103.0,5000,0.8412,0.15880000000000005,0.3176000000000001
345,ball,bivariate_radius_alpha=0.25,square,shared_area,0.780934118766753,5000,0.557,0.44299999999999995,0.8859999999999999
345,ball,bivariate_radius_alpha=0.25,square,distance,786.2376480085546,5000,0.3764,0.6235999999999999,0.7528
345,ball,bivariate_radius_alpha=0.25,first_mark,intersection,193.0,5000,0.1892,0.8108,0.3784
345,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,1.5974925442796786,5000,0.4568,0.5432,0.9136
