Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
2212,ball,ball_bivariate_radius_alpha=0,100,product,intersection,424.0,5000,0.8854,0.11460000000000004,0.22920000000000007
2212,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,1.9617197962653192,5000,0.7712,0.2288,0.4576
2212,ball,ball_bivariate_radius_alpha=0,100,product,distance,6424.8972608081585,5000,0.183,0.817,0.366
2212,ball,ball_bivariate_radius_alpha=0,100,square,intersection,383.0,5000,0.5502,0.4498,0.8996
2212,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.7958540286786855,5000,0.6072,0.39280000000000004,0.7856000000000001
2212,ball,ball_bivariate_radius_alpha=0,100,square,distance,6385.328692819835,5000,0.1712,0.8288,0.3424
2212,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,807.0,5000,0.9414,0.058599999999999985,0.11719999999999997
2212,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,3.7575738249440045,5000,0.8396,0.1604,0.3208
2212,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,12810.225953627993,5000,0.1542,0.8458,0.3084
2212,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,328.0,5000,0.4898,0.5102,0.9796
2212,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.4880052666926609,5000,0.4176,0.5824,0.8352
2212,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,5489.022999607875,5000,0.3936,0.6064,0.7872
2212,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,382.0,5000,0.5644,0.4356,0.8712
2212,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.8802797965218832,5000,0.9192,0.08079999999999998,0.16159999999999997
2212,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,6378.2716565317305,5000,0.5976,0.4024,0.8048
2212,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,710.0,5000,0.5392,0.4608,0.9216
2212,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,3.368285063214544,5000,0.6776,0.3224,0.6448
2212,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,11867.294656139606,5000,0.4082,0.5918,0.8164
2212,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,428.0,5000,0.8514,0.14859999999999995,0.2971999999999999
2212,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,2.1844129810546096,5000,0.9494,0.05059999999999998,0.10119999999999996
2212,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,6441.286457683998,5000,0.0684,0.9316,0.1368
2212,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,387.0,5000,0.6594,0.3406,0.6812
2212,ball,ball_bivariate_radius_alpha=0.5,100,square,shared_area,1.7776003815287442,5000,0.5202,0.4798,0.9596
2212,ball,ball_bivariate_radius_alpha=0.5,100,square,distance,6385.6690000239305,5000,0.2798,0.7202,0.5596
2212,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,intersection,815.0,5000,0.9402,0.059799999999999964,0.11959999999999993
2212,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,shared_area,3.9620133625833542,5000,0.9782,0.02180000000000004,0.04360000000000008
2212,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,distance,12826.955457707925,5000,0.049,0.951,0.098
2212,ball,ball_bivariate_radius_alpha=0.75,100,product,intersection,442.0,5000,0.7786,0.22140000000000004,0.4428000000000001
2212,ball,ball_bivariate_radius_alpha=0.75,100,product,shared_area,2.427699123744624,5000,0.9906,0.009399999999999964,0.018799999999999928
2212,ball,ball_bivariate_radius_alpha=0.75,100,product,distance,7061.555969040154,5000,0.439,0.5609999999999999,0.878
2212,ball,ball_bivariate_radius_alpha=0.75,100,square,intersection,395.0,5000,0.8778,0.12219999999999998,0.24439999999999995
2212,ball,ball_bivariate_radius_alpha=0.75,100,square,shared_area,1.823510584120825,5000,0.7468,0.2532,0.5064
2212,ball,ball_bivariate_radius_alpha=0.75,100,square,distance,6364.6421513052,5000,0.1756,0.8244,0.3512
2212,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,intersection,837.0,5000,0.9488,0.05120000000000002,0.10240000000000005
2212,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,shared_area,4.251209707865449,5000,0.9998,0.00019999999999997797,0.00039999999999995595
2212,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,distance,13426.198120345358,5000,0.392,0.608,0.784
2212,ball,ball_bivariate_radius_alpha=1,100,product,intersection,486.0,5000,0.9998,0.00019999999999997797,0.00039999999999995595
