Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
415,ball,bivariate_radius_alpha=0,product,intersection,60.0,5000,0.311,0.6890000000000001,0.622
415,ball,bivariate_radius_alpha=0,product,shared_area,0.471904473779985,5000,0.3936,0.6064,0.7872
415,ball,bivariate_radius_alpha=0,product,distance,445.7807409884279,5000,0.647,0.353,0.706
415,ball,bivariate_radius_alpha=0,square,intersection,91.0,5000,0.5238,0.47619999999999996,0.9523999999999999
415,ball,bivariate_radius_alpha=0,square,shared_area,0.7806055181175022,5000,0.7834,0.21660000000000001,0.43320000000000003
415,ball,bivariate_radius_alpha=0,square,distance,593.0008185203978,5000,0.5086,0.49139999999999995,0.9827999999999999
415,ball,bivariate_radius_alpha=0,first_mark,intersection,151.0,5000,0.354,0.646,0.708
415,ball,bivariate_radius_alpha=0,first_mark,shared_area,1.2525099918974871,5000,0.5292,0.4708,0.9416
415,ball,bivariate_radius_alpha=0,first_mark,distance,1038.781559508826,5000,0.6204,0.37960000000000005,0.7592000000000001
415,ball,bivariate_radius_alpha=0.25,product,intersection,88.0,5000,0.841,0.15900000000000003,0.31800000000000006
415,ball,bivariate_radius_alpha=0.25,product,shared_area,0.7340939245290219,5000,0.8258,0.17420000000000002,0.34840000000000004
415,ball,bivariate_radius_alpha=0.25,product,distance,443.59835435016043,5000,0.0588,0.9412,0.1176
415,ball,bivariate_radius_alpha=0.25,square,intersection,91.0,5000,0.4598,0.5402,0.9196
415,ball,bivariate_radius_alpha=0.25,square,shared_area,0.7691934245912515,5000,0.7134,0.28659999999999997,0.5731999999999999
415,ball,bivariate_radius_alpha=0.25,square,distance,604.1612196248167,5000,0.6766,0.3234,0.6468
415,ball,bivariate_radius_alpha=0.25,first_mark,intersection,179.0,5000,0.8672,0.13280000000000003,0.26560000000000006
415,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,1.5032873491202734,5000,0.889,0.11099999999999999,0.22199999999999998
415,ball,bivariate_radius_alpha=0.25,first_mark,distance,1047.7595739749772,5000,0.0786,0.9214,0.1572
415,ball,bivariate_radius_alpha=0.5,product,intersection,94.0,5000,0.8508,0.1492,0.2984
415,ball,bivariate_radius_alpha=0.5,product,shared_area,0.8226216520105714,5000,0.8768,0.12319999999999998,0.24639999999999995
415,ball,bivariate_radius_alpha=0.5,product,distance,508.9950696015373,5000,0.3084,0.6916,0.6168
415,ball,bivariate_radius_alpha=0.5,square,intersection,92.0,5000,0.5046,0.49539999999999995,0.9907999999999999
415,ball,bivariate_radius_alpha=0.5,square,shared_area,0.7733062586007249,5000,0.72,0.28,0.56
415,ball,bivariate_radius_alpha=0.5,square,distance,596.2549739188141,5000,0.038,0.962,0.076
415,ball,bivariate_radius_alpha=0.5,first_mark,intersection,186.0,5000,0.89,0.10999999999999999,0.21999999999999997
415,ball,bivariate_radius_alpha=0.5,first_mark,shared_area,1.5959279106112962,5000,0.9418,0.05820000000000003,0.11640000000000006
415,ball,bivariate_radius_alpha=0.5,first_mark,distance,1105.2500435203515,5000,0.2398,0.7602,0.4796
415,ball,bivariate_radius_alpha=0.75,product,intersection,82.0,5000,0.575,0.42500000000000004,0.8500000000000001
