Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
600,ball,bivariate_radius_alpha=0,product,intersection,112.0,5000,0.949,0.051000000000000045,0.10200000000000009
600,ball,bivariate_radius_alpha=0,product,shared_area,0.8512747485895984,5000,0.8274,0.17259999999999998,0.34519999999999995
600,ball,bivariate_radius_alpha=0,product,distance,893.0173025102131,5000,0.7772,0.2228,0.4456
600,ball,bivariate_radius_alpha=0,square,intersection,108.0,5000,0.1416,0.8584,0.2832
600,ball,bivariate_radius_alpha=0,square,shared_area,0.9086004232472732,5000,0.4882,0.5118,0.9764
600,ball,bivariate_radius_alpha=0,square,distance,1121.0133965907316,5000,0.7524,0.24760000000000004,0.4952000000000001
600,ball,bivariate_radius_alpha=0,first_mark,intersection,220.0,5000,0.8976,0.10240000000000005,0.2048000000000001
600,ball,bivariate_radius_alpha=0,first_mark,shared_area,1.7598751718368715,5000,0.8368,0.1632,0.3264
600,ball,bivariate_radius_alpha=0,first_mark,distance,2014.0306991009447,5000,0.7926,0.20740000000000003,0.41480000000000006
600,ball,bivariate_radius_alpha=0.25,product,intersection,66.0,5000,0.532,0.46799999999999997,0.9359999999999999
600,ball,bivariate_radius_alpha=0.25,product,shared_area,0.6060915627633238,5000,0.7732,0.2268,0.4536
600,ball,bivariate_radius_alpha=0.25,product,distance,671.1226171597566,5000,0.8998,0.10019999999999996,0.2003999999999999
600,ball,bivariate_radius_alpha=0.25,square,intersection,120.0,5000,0.9042,0.0958,0.1916
600,ball,bivariate_radius_alpha=0.25,square,shared_area,0.9271554964203905,5000,0.764,0.236,0.472
600,ball,bivariate_radius_alpha=0.25,square,distance,1068.269072201644,5000,0.6928,0.30720000000000003,0.6144000000000001
600,ball,bivariate_radius_alpha=0.25,first_mark,intersection,186.0,5000,0.8232,0.17679999999999996,0.3535999999999999
600,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,1.5332470591837142,5000,0.8492,0.15080000000000005,0.3016000000000001
600,ball,bivariate_radius_alpha=0.25,first_mark,distance,1739.3916893614007,5000,0.8684,0.13160000000000005,0.2632000000000001
600,ball,bivariate_radius_alpha=0.5,product,intersection,126.0,5000,0.9494,0.05059999999999998,0.10119999999999996
600,ball,bivariate_radius_alpha=0.5,product,shared_area,0.9947919555554326,5000,0.8676,0.13239999999999996,0.2647999999999999
600,ball,bivariate_radius_alpha=0.5,product,distance,981.4442939261127,5000,0.4168,0.5831999999999999,0.8336
600,ball,bivariate_radius_alpha=0.5,square,intersection,117.0,5000,0.4556,0.5444,0.9112
600,ball,bivariate_radius_alpha=0.5,square,shared_area,1.0027313732605418,5000,0.8462,0.15380000000000005,0.3076000000000001
600,ball,bivariate_radius_alpha=0.5,square,distance,1148.6809953348338,5000,0.9646,0.03539999999999999,0.07079999999999997
600,ball,bivariate_radius_alpha=0.5,first_mark,intersection,243.0,5000,0.9784,0.021599999999999953,0.043199999999999905
600,ball,bivariate_radius_alpha=0.5,first_mark,shared_area,1.9975233288159748,5000,0.9566,0.043399999999999994,0.08679999999999999
600,ball,bivariate_radius_alpha=0.5,first_mark,distance,2130.125289260947,5000,0.5968,0.4032,0.8064
600,ball,bivariate_radius_alpha=0.75,product,intersection,144.0,5000,0.9646,0.03539999999999999,0.07079999999999997
600,ball,bivariate_radius_alpha=0.75,product,shared_area,1.4612750229203453,5000,0.9972,0.0028000000000000247,0.005600000000000049
600,ball,bivariate_radius_alpha=0.75,product,distance,1143.98351322267,5000,0.5836,0.4164,0.8328
600,ball,bivariate_radius_alpha=0.75,square,intersection,118.0,5000,0.4906,0.5094000000000001,0.9812
