Seed,Grain Type,Model,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
553,ball,bivariate_radius_alpha=0,product,intersection,212.0,5000,0.3548,0.6452,0.7096
553,ball,bivariate_radius_alpha=0,product,shared_area,2.0879696209295564,5000,0.6786,0.3214,0.6428
553,ball,bivariate_radius_alpha=0,product,distance,1265.7868451722684,5000,0.132,0.868,0.264
553,ball,bivariate_radius_alpha=0,square,intersection,201.0,5000,0.8854,0.11460000000000004,0.22920000000000007
553,ball,bivariate_radius_alpha=0,square,shared_area,1.8374712879835038,5000,0.877,0.123,0.246
553,ball,bivariate_radius_alpha=0,square,distance,1162.882431207188,5000,0.8422,0.15780000000000005,0.3156000000000001
553,ball,bivariate_radius_alpha=0,first_mark,intersection,413.0,5000,0.5608,0.43920000000000003,0.8784000000000001
553,ball,bivariate_radius_alpha=0,first_mark,shared_area,3.9254409089130604,5000,0.8484,0.15159999999999996,0.3031999999999999
553,ball,bivariate_radius_alpha=0,first_mark,distance,2428.6692763794563,5000,0.149,0.851,0.298
553,ball,bivariate_radius_alpha=0.25,product,intersection,126.0,5000,0.2516,0.7484,0.5032
553,ball,bivariate_radius_alpha=0.25,product,shared_area,1.18187608864569,5000,0.4446,0.5554,0.8892
553,ball,bivariate_radius_alpha=0.25,product,distance,850.4394274460749,5000,0.6294,0.37060000000000004,0.7412000000000001
553,ball,bivariate_radius_alpha=0.25,square,intersection,200.0,5000,0.9198,0.08020000000000005,0.1604000000000001
553,ball,bivariate_radius_alpha=0.25,square,shared_area,1.9123402787687387,5000,0.9876,0.012399999999999967,0.024799999999999933
553,ball,bivariate_radius_alpha=0.25,square,distance,1140.2736769427647,5000,0.6494,0.3506,0.7012
553,ball,bivariate_radius_alpha=0.25,first_mark,intersection,326.0,5000,0.53,0.47,0.94
553,ball,bivariate_radius_alpha=0.25,first_mark,shared_area,3.094216367414429,5000,0.7846,0.21540000000000004,0.43080000000000007
553,ball,bivariate_radius_alpha=0.25,first_mark,distance,1990.7131043888398,5000,0.6368,0.36319999999999997,0.7263999999999999
553,ball,bivariate_radius_alpha=0.5,product,intersection,240.0,5000,0.8964,0.10360000000000003,0.20720000000000005
553,ball,bivariate_radius_alpha=0.5,product,shared_area,2.551493005434274,5000,0.9824,0.01759999999999995,0.0351999999999999
553,ball,bivariate_radius_alpha=0.5,product,distance,1260.2061077053727,5000,0.3574,0.6426000000000001,0.7148
553,ball,bivariate_radius_alpha=0.5,square,intersection,194.0,5000,0.5904,0.40959999999999996,0.8191999999999999
553,ball,bivariate_radius_alpha=0.5,square,shared_area,1.6673958094873345,5000,0.3482,0.6517999999999999,0.6964
553,ball,bivariate_radius_alpha=0.5,square,distance,1156.440257803315,5000,0.5926,0.4074,0.8148
553,ball,bivariate_radius_alpha=0.5,first_mark,intersection,434.0,5000,0.9618,0.03820000000000001,0.07640000000000002
553,ball,bivariate_radius_alpha=0.5,first_mark,shared_area,4.218888814921608,5000,0.9938,0.006199999999999983,0.012399999999999967
