Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
2141,ball,ball_bivariate_radius_alpha=0,100,product,intersection,314.0,5000,0.5658,0.43420000000000003,0.8684000000000001
2141,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,1.4355310119282392,5000,0.7896,0.21040000000000003,0.42080000000000006
2141,ball,ball_bivariate_radius_alpha=0,100,product,distance,5059.715018474439,5000,0.7226,0.2774,0.5548
2141,ball,ball_bivariate_radius_alpha=0,100,square,intersection,285.0,5000,0.0138,0.9862,0.0276
2141,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.1917649243862696,5000,0.0298,0.9702,0.0596
2141,ball,ball_bivariate_radius_alpha=0,100,square,distance,5009.030386480324,5000,0.5802,0.41979999999999995,0.8395999999999999
2141,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,599.0,5000,0.1204,0.8796,0.2408
2141,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,2.6272959363145083,5000,0.378,0.622,0.756
2141,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,10068.745404954761,5000,0.7202,0.27980000000000005,0.5596000000000001
2141,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,282.0,5000,0.9306,0.06940000000000002,0.13880000000000003
2141,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.1585037764418087,5000,0.7772,0.2228,0.4456
2141,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,3823.2579753302766,5000,0.1656,0.8344,0.3312
2141,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,300.0,5000,0.195,0.8049999999999999,0.39
2141,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.3115553439628316,5000,0.4014,0.5986,0.8028
2141,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,4940.924346469354,5000,0.313,0.687,0.626
2141,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,582.0,5000,0.872,0.128,0.256
2141,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,2.4700591204046405,5000,0.7554,0.24460000000000004,0.4892000000000001
2141,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,8764.18232179963,5000,0.164,0.836,0.328
2141,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,396.0,5000,0.9614,0.03859999999999997,0.07719999999999994
2141,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,1.8068763268959505,5000,0.9772,0.022800000000000042,0.045600000000000085
2141,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,5574.214365356802,5000,0.4242,0.5758,0.8484
2141,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,298.0,5000,0.1162,0.8838,0.2324
