Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
2131,ball,ball_bivariate_radius_alpha=0,100,product,intersection,354.0,5000,0.6046,0.3954,0.7908
2131,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,1.4497031928228106,5000,0.3222,0.6778,0.6444
2131,ball,ball_bivariate_radius_alpha=0,100,product,distance,6051.991884417994,5000,0.1656,0.8344,0.3312
2131,ball,ball_bivariate_radius_alpha=0,100,square,intersection,376.0,5000,0.4922,0.5078,0.9844
2131,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.7255984985833306,5000,0.802,0.19799999999999995,0.3959999999999999
2131,ball,ball_bivariate_radius_alpha=0,100,square,distance,6709.300178534116,5000,0.7518,0.24819999999999998,0.49639999999999995
2131,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,730.0,5000,0.639,0.361,0.722
2131,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,3.1753016914061414,5000,0.4758,0.5242,0.9516
2131,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,12761.292062952109,5000,0.187,0.813,0.374
2131,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,404.0,5000,0.947,0.05300000000000005,0.1060000000000001
2131,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.8984024822450885,5000,0.9572,0.04279999999999995,0.0855999999999999
2131,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,6696.336541466349,5000,0.8998,0.10019999999999996,0.2003999999999999
2131,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,353.0,5000,0.0594,0.9406,0.1188
2131,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.5185084978395798,5000,0.0632,0.9368,0.1264
2131,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,6722.242288826779,5000,0.8326,0.1674,0.3348
2131,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,757.0,5000,0.8328,0.16720000000000002,0.33440000000000003
2131,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,3.4169109800846686,5000,0.8824,0.11760000000000004,0.23520000000000008
2131,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,13418.578830293129,5000,0.9144,0.08560000000000001,0.17120000000000002
2131,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,480.0,5000,0.956,0.04400000000000004,0.08800000000000008
2131,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,2.443029055260546,5000,0.9976,0.0023999999999999577,0.0047999999999999154
2131,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,7750.12232240269,5000,0.5262,0.4738,0.9476
2131,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,367.0,5000,0.3026,0.6974,0.6052
2131,ball,ball_bivariate_radius_alpha=0.5,100,square,shared_area,1.5504256606130329,5000,0.1236,0.8764,0.2472
2131,ball,ball_bivariate_radius_alpha=0.5,100,square,distance,6648.14120002948,5000,0.3018,0.6981999999999999,0.6036
2131,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,intersection,847.0,5000,0.9732,0.026800000000000046,0.05360000000000009
2131,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,shared_area,3.9934547158735794,5000,0.9986,0.0013999999999999568,0.0027999999999999137
2131,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,distance,14398.263522432173,5000,0.4982,0.5018,0.9964
2131,ball,ball_bivariate_radius_alpha=0.75,100,product,intersection,568.0,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=0.75,100,product,shared_area,2.9224535259346904,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=0.75,100,product,distance,7337.6931460211035,5000,0.003,0.997,0.006
2131,ball,ball_bivariate_radius_alpha=0.75,100,square,intersection,354.0,5000,0.091,0.909,0.182
2131,ball,ball_bivariate_radius_alpha=0.75,100,square,shared_area,1.4571979587986157,5000,0.0214,0.9786,0.0428
2131,ball,ball_bivariate_radius_alpha=0.75,100,square,distance,6691.665569785951,5000,0.905,0.09499999999999997,0.18999999999999995
2131,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,intersection,922.0,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,shared_area,4.379651484733307,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,distance,14029.358715807055,5000,0.0024,0.9976,0.0048
2131,ball,ball_bivariate_radius_alpha=1,100,product,intersection,470.0,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=1,100,product,shared_area,2.843553296683198,5000,1.0,0.0,0.0
2131,ball,ball_bivariate_radius_alpha=1,100,product,distance,5925.857937656446,5000,0.013,0.987,0.026
