Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
692213,ball,ball_bivariate_radius_alpha=0,100,product,intersection,548.0,5000,0.8726,0.12739999999999996,0.2547999999999999
692213,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,2.3611330994952953,5000,0.7434,0.25660000000000005,0.5132000000000001
692213,ball,ball_bivariate_radius_alpha=0,100,product,distance,8687.168409959502,5000,0.1344,0.8656,0.2688
692213,ball,ball_bivariate_radius_alpha=0,100,square,intersection,378.0,5000,0.2366,0.7634,0.4732
692213,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.7694216431062433,5000,0.862,0.138,0.276
692213,ball,ball_bivariate_radius_alpha=0,100,square,distance,6765.90878229056,5000,0.6792,0.3208,0.6416
692213,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,926.0,5000,0.8632,0.13680000000000003,0.27360000000000007
692213,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,4.1305547426015385,5000,0.904,0.09599999999999997,0.19199999999999995
692213,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,15453.07719225006,5000,0.1118,0.8882,0.2236
692213,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,360.0,5000,0.9714,0.02859999999999996,0.05719999999999992
692213,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.6130653432569937,5000,0.9262,0.07379999999999998,0.14759999999999995
692213,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,5177.529061780044,5000,0.1664,0.8336,0.3328
692213,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,392.0,5000,0.5162,0.4838,0.9676
692213,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.7848107554625692,5000,0.882,0.118,0.236
692213,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,6867.706979376977,5000,0.9618,0.03820000000000001,0.07640000000000002
692213,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,752.0,5000,0.9894,0.010600000000000054,0.021200000000000108
692213,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,3.397876098719563,5000,0.9792,0.02080000000000004,0.04160000000000008
692213,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,12045.236041157023,5000,0.31,0.69,0.62
692213,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,392.0,5000,0.9192,0.08079999999999998,0.16159999999999997
692213,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,1.916265261561563,5000,0.9706,0.02939999999999998,0.05879999999999996
692213,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,5966.0146066642465,5000,0.1618,0.8382000000000001,0.3236
692213,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,398.0,5000,0.5798,0.4202,0.8404
692213,ball,ball_bivariate_radius_alpha=0.5,100,square,shared_area,1.7399426677176189,5000,0.643,0.357,0.714
692213,ball,ball_bivariate_radius_alpha=0.5,100,square,distance,6876.123684255665,5000,0.6032,0.39680000000000004,0.7936000000000001
692213,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,intersection,790.0,5000,0.9626,0.03739999999999999,0.07479999999999998
692213,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,shared_area,3.6562079292791823,5000,0.9932,0.006800000000000028,0.013600000000000056
692213,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,distance,12842.138290919911,5000,0.1726,0.8274,0.3452
692213,ball,ball_bivariate_radius_alpha=0.75,100,product,intersection,674.0,5000,1.0,0.0,0.0
692213,ball,ball_bivariate_radius_alpha=0.75,100,product,shared_area,3.587948619084363,5000,1.0,0.0,0.0
692213,ball,ball_bivariate_radius_alpha=0.75,100,product,distance,8748.386633263364,5000,0.0014,0.9986,0.0028
