Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
692436,ball,ball_bivariate_radius_alpha=0,100,product,intersection,262.0,5000,0.6034,0.39659999999999995,0.7931999999999999
692436,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,0.9237281441775937,5000,0.1568,0.8432,0.3136
692436,ball,ball_bivariate_radius_alpha=0,100,product,distance,5122.820047275819,5000,0.6014,0.39859999999999995,0.7971999999999999
692436,ball,ball_bivariate_radius_alpha=0,100,square,intersection,243.0,5000,0.579,0.42100000000000004,0.8420000000000001
692436,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.027705386584522,5000,0.8252,0.17479999999999996,0.3495999999999999
692436,ball,ball_bivariate_radius_alpha=0,100,square,distance,4742.328214269932,5000,0.3816,0.6184000000000001,0.7632
692436,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,505.0,5000,0.7144,0.28559999999999997,0.5711999999999999
692436,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,1.951433530762116,5000,0.2642,0.7358,0.5284
692436,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,9865.14826154575,5000,0.58,0.42000000000000004,0.8400000000000001
692436,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,290.0,5000,0.4576,0.5424,0.9152
692436,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.3410366159354814,5000,0.9232,0.07679999999999998,0.15359999999999996
692436,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,5601.035203716831,5000,0.1448,0.8552,0.2896
692436,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,247.0,5000,0.789,0.21099999999999997,0.42199999999999993
692436,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,0.9520032073983026,5000,0.4304,0.5696,0.8608
692436,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,4729.861593151611,5000,0.858,0.14200000000000002,0.28400000000000003
692436,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,537.0,5000,0.7094,0.29059999999999997,0.5811999999999999
692436,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,2.2930398233337836,5000,0.966,0.03400000000000003,0.06800000000000006
692436,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,10330.896796868441,5000,0.1598,0.8402000000000001,0.3196
692436,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,266.0,5000,0.7808,0.21919999999999995,0.4383999999999999
692436,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,1.1641037598419717,5000,0.913,0.08699999999999997,0.17399999999999993
692436,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,4871.601206169487,5000,0.2528,0.7472,0.5056
692436,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,232.0,5000,0.2104,0.7896,0.4208
692436,ball,ball_bivariate_radius_alpha=0.5,100,square,shared_area,0.8999770689462238,5000,0.1234,0.8766,0.2468
692436,ball,ball_bivariate_radius_alpha=0.5,100,square,distance,4739.0076697549375,5000,0.1694,0.8306,0.3388
692436,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,intersection,498.0,5000,0.6694,0.3306,0.6612
692436,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,shared_area,2.0640808287881955,5000,0.8138,0.18620000000000003,0.37240000000000006
692436,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,distance,9610.608875924425,5000,0.2098,0.7902,0.4196
692436,ball,ball_bivariate_radius_alpha=0.75,100,product,intersection,270.0,5000,0.9834,0.016599999999999948,0.033199999999999896
692436,ball,ball_bivariate_radius_alpha=0.75,100,product,shared_area,1.1697199482689693,5000,0.9864,0.013599999999999945,0.02719999999999989
692436,ball,ball_bivariate_radius_alpha=0.75,100,product,distance,4289.9210385938695,5000,0.035,0.965,0.07
692436,ball,ball_bivariate_radius_alpha=0.75,100,square,intersection,243.0,5000,0.5658,0.43420000000000003,0.8684000000000001
692436,ball,ball_bivariate_radius_alpha=0.75,100,square,shared_area,0.9709196471827217,5000,0.4878,0.5122,0.9756
692436,ball,ball_bivariate_radius_alpha=0.75,100,square,distance,4742.06431864453,5000,0.1804,0.8196,0.3608
692436,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,intersection,513.0,5000,0.9992,0.0008000000000000229,0.0016000000000000458
692436,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,shared_area,2.140639595451691,5000,0.9978,0.0021999999999999797,0.0043999999999999595
692436,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,distance,9031.985357238398,5000,0.0264,0.9736,0.0528
692436,ball,ball_bivariate_radius_alpha=1,100,product,intersection,318.0,5000,0.9582,0.04179999999999995,0.0835999999999999
692436,ball,ball_bivariate_radius_alpha=1,100,product,shared_area,1.4563452299235669,5000,0.996,0.0040000000000000036,0.008000000000000007
692436,ball,ball_bivariate_radius_alpha=1,100,product,distance,5351.410056924889,5000,0.027,0.973,0.054
692436,ball,ball_bivariate_radius_alpha=1,100,square,intersection,233.0,5000,0.2864,0.7136,0.5728
692436,ball,ball_bivariate_radius_alpha=1,100,square,shared_area,0.9434827324701762,5000,0.3576,0.6424000000000001,0.7152
692436,ball,ball_bivariate_radius_alpha=1,100,square,distance,4734.812076133171,5000,0.822,0.17800000000000005,0.3560000000000001
692436,ball,ball_bivariate_radius_alpha=1,100,first_mark,intersection,551.0,5000,0.9788,0.021199999999999997,0.04239999999999999
692436,ball,ball_bivariate_radius_alpha=1,100,first_mark,shared_area,2.3998279623937435,5000,0.9994,0.0006000000000000449,0.0012000000000000899
692436,ball,ball_bivariate_radius_alpha=1,100,first_mark,distance,10086.222133058061,5000,0.023,0.977,0.046
692436,ball,ball_continuous_radius_alpha=0,100,product,intersection,5.4332022629844365,5000,0.0132,0.9868,0.0264
692436,ball,ball_continuous_radius_alpha=0,100,product,shared_area,0.02200738968568084,5000,0.0758,0.9242,0.1516
692436,ball,ball_continuous_radius_alpha=0,100,product,distance,110.98898124984106,5000,0.8326,0.1674,0.3348
692436,ball,ball_continuous_radius_alpha=0,100,square,intersection,0.21487492410923892,5000,0.9862,0.013800000000000034,0.02760000000000007
692436,ball,ball_continuous_radius_alpha=0,100,square,shared_area,0.0008461346960067301,5000,0.8706,0.12939999999999996,0.2587999999999999
692436,ball,ball_continuous_radius_alpha=0,100,square,distance,3.8128411423643356,5000,0.4264,0.5736,0.8528
692436,ball,ball_continuous_radius_alpha=0,100,first_mark,intersection,72.17333338224937,5000,0.0218,0.9782,0.0436
692436,ball,ball_continuous_radius_alpha=0,100,first_mark,shared_area,0.2921957810578296,5000,0.1078,0.8922,0.2156
692436,ball,ball_continuous_radius_alpha=0,100,first_mark,distance,1449.6211282892568,5000,0.8322,0.16779999999999995,0.3355999999999999
692436,ball,ball_continuous_radius_alpha=0.25,100,product,intersection,5.373605089932973,5000,0.9856,0.014399999999999968,0.028799999999999937
692436,ball,ball_continuous_radius_alpha=0.25,100,product,shared_area,0.02208706274155643,5000,0.9974,0.0026000000000000467,0.0052000000000000934
692436,ball,ball_continuous_radius_alpha=0.25,100,product,distance,104.09682670854502,5000,0.3634,0.6366,0.7268
692436,ball,ball_continuous_radius_alpha=0.25,100,square,intersection,0.13048947237532055,5000,0.8064,0.1936,0.3872
692436,ball,ball_continuous_radius_alpha=0.25,100,square,shared_area,0.00046339395885171633,5000,0.1506,0.8493999999999999,0.3012
692436,ball,ball_continuous_radius_alpha=0.25,100,square,distance,2.3917211902564275,5000,0.0328,0.9672,0.0656
692436,ball,ball_continuous_radius_alpha=0.25,100,first_mark,intersection,71.75246702542648,5000,0.9938,0.006199999999999983,0.012399999999999967
692436,ball,ball_continuous_radius_alpha=0.25,100,first_mark,shared_area,0.2921289305271939,5000,0.9968,0.0031999999999999806,0.006399999999999961
692436,ball,ball_continuous_radius_alpha=0.25,100,first_mark,distance,1403.81687667896,5000,0.3596,0.6404000000000001,0.7192
692436,ball,ball_continuous_radius_alpha=0.5,100,product,intersection,5.575923226999521,5000,0.9998,0.00019999999999997797,0.00039999999999995595
692436,ball,ball_continuous_radius_alpha=0.5,100,product,shared_area,0.023152435527541728,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.5,100,product,distance,106.61964030231391,5000,0.0526,0.9474,0.1052
692436,ball,ball_continuous_radius_alpha=0.5,100,square,intersection,0.08976988697614639,5000,0.9294,0.0706,0.1412
692436,ball,ball_continuous_radius_alpha=0.5,100,square,shared_area,0.00031672278901123853,5000,0.2598,0.7402,0.5196
692436,ball,ball_continuous_radius_alpha=0.5,100,square,distance,1.650623040632453,5000,0.6542,0.3458,0.6916
692436,ball,ball_continuous_radius_alpha=0.5,100,first_mark,intersection,73.0495719681996,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.5,100,first_mark,shared_area,0.29924732055102293,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.5,100,first_mark,distance,1420.7153818146426,5000,0.052,0.948,0.104
692436,ball,ball_continuous_radius_alpha=0.75,100,product,intersection,5.372411414551875,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.75,100,product,shared_area,0.022666190453316668,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.75,100,product,distance,100.63631194903539,5000,0.0008,0.9992,0.0016
692436,ball,ball_continuous_radius_alpha=0.75,100,square,intersection,0.1171614390846493,5000,0.9798,0.020199999999999996,0.04039999999999999
692436,ball,ball_continuous_radius_alpha=0.75,100,square,shared_area,0.0004292950024028048,5000,0.518,0.482,0.964
692436,ball,ball_continuous_radius_alpha=0.75,100,square,distance,2.110988698728128,5000,0.679,0.32099999999999995,0.6419999999999999
692436,ball,ball_continuous_radius_alpha=0.75,100,first_mark,intersection,71.72463525470923,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.75,100,first_mark,shared_area,0.2961708463224194,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=0.75,100,first_mark,distance,1380.3086148411808,5000,0.0004,0.9996,0.0008
692436,ball,ball_continuous_radius_alpha=1,100,product,intersection,5.427979269503797,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=1,100,product,shared_area,0.02329554469338318,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=1,100,product,distance,99.8452912087855,5000,0.0034,0.9966,0.0068
692436,ball,ball_continuous_radius_alpha=1,100,square,intersection,0.1904685744734509,5000,0.9514,0.04859999999999998,0.09719999999999995
692436,ball,ball_continuous_radius_alpha=1,100,square,shared_area,0.0006755648267531458,5000,0.2734,0.7266,0.5468
692436,ball,ball_continuous_radius_alpha=1,100,square,distance,3.5244612961831385,5000,0.8612,0.13880000000000003,0.27760000000000007
692436,ball,ball_continuous_radius_alpha=1,100,first_mark,intersection,72.13327492348972,5000,1.0,0.0,0.0
692436,ball,ball_continuous_radius_alpha=1,100,first_mark,shared_area,0.3003189535467181,5000,1.0,0.0,0.0
