Seed,Grain Type,Model,Intensity,f-Mark Type,Weight Type,Value,Permutation Test Count,Left p-value,Right p-value,Both Sided p-value
2221,ball,ball_bivariate_radius_alpha=0,100,product,intersection,404.0,5000,0.777,0.22299999999999998,0.44599999999999995
2221,ball,ball_bivariate_radius_alpha=0,100,product,shared_area,1.7652564407613198,5000,0.6944,0.3056,0.6112
2221,ball,ball_bivariate_radius_alpha=0,100,product,distance,7849.896131658494,5000,0.2462,0.7538,0.4924
2221,ball,ball_bivariate_radius_alpha=0,100,square,intersection,294.0,5000,0.4366,0.5634,0.8732
2221,ball,ball_bivariate_radius_alpha=0,100,square,shared_area,1.2736170774320805,5000,0.378,0.622,0.756
2221,ball,ball_bivariate_radius_alpha=0,100,square,distance,6098.042009941314,5000,0.6744,0.3256,0.6512
2221,ball,ball_bivariate_radius_alpha=0,100,first_mark,intersection,698.0,5000,0.8418,0.1582,0.3164
2221,ball,ball_bivariate_radius_alpha=0,100,first_mark,shared_area,3.0388735181934,5000,0.6782,0.3218,0.6436
2221,ball,ball_bivariate_radius_alpha=0,100,first_mark,distance,13947.938141599809,5000,0.2416,0.7584,0.4832
2221,ball,ball_bivariate_radius_alpha=0.25,100,product,intersection,264.0,5000,0.5136,0.48640000000000005,0.9728000000000001
2221,ball,ball_bivariate_radius_alpha=0.25,100,product,shared_area,1.2277133539910425,5000,0.7288,0.2712,0.5424
2221,ball,ball_bivariate_radius_alpha=0.25,100,product,distance,5398.751793844425,5000,0.4134,0.5866,0.8268
2221,ball,ball_bivariate_radius_alpha=0.25,100,square,intersection,301.0,5000,0.5172,0.4828,0.9656
2221,ball,ball_bivariate_radius_alpha=0.25,100,square,shared_area,1.374548633358902,5000,0.7984,0.2016,0.4032
2221,ball,ball_bivariate_radius_alpha=0.25,100,square,distance,6181.525269839602,5000,0.5388,0.46120000000000005,0.9224000000000001
2221,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,intersection,565.0,5000,0.5412,0.4588,0.9176
2221,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,shared_area,2.602261987349945,5000,0.8824,0.11760000000000004,0.23520000000000008
2221,ball,ball_bivariate_radius_alpha=0.25,100,first_mark,distance,11580.277063684025,5000,0.414,0.5860000000000001,0.828
2221,ball,ball_bivariate_radius_alpha=0.5,100,product,intersection,316.0,5000,0.957,0.04300000000000004,0.08600000000000008
2221,ball,ball_bivariate_radius_alpha=0.5,100,product,shared_area,1.6508900704065053,5000,0.9988,0.0011999999999999789,0.0023999999999999577
2221,ball,ball_bivariate_radius_alpha=0.5,100,product,distance,5732.162796752142,5000,0.3866,0.6134,0.7732
2221,ball,ball_bivariate_radius_alpha=0.5,100,square,intersection,308.0,5000,0.7106,0.2894,0.5788
2221,ball,ball_bivariate_radius_alpha=0.5,100,square,shared_area,1.3079614445965797,5000,0.4258,0.5742,0.8516
2221,ball,ball_bivariate_radius_alpha=0.5,100,square,distance,6175.823864217311,5000,0.0486,0.9514,0.0972
2221,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,intersection,624.0,5000,0.997,0.0030000000000000027,0.006000000000000005
2221,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,shared_area,2.9588515150030856,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=0.5,100,first_mark,distance,11907.98666096945,5000,0.335,0.665,0.67
2221,ball,ball_bivariate_radius_alpha=0.75,100,product,intersection,338.0,5000,0.9948,0.005199999999999982,0.010399999999999965
2221,ball,ball_bivariate_radius_alpha=0.75,100,product,shared_area,1.8053150032013983,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=0.75,100,product,distance,5542.530708609339,5000,0.0796,0.9204,0.1592
2221,ball,ball_bivariate_radius_alpha=0.75,100,square,intersection,308.0,5000,0.7142,0.28580000000000005,0.5716000000000001
2221,ball,ball_bivariate_radius_alpha=0.75,100,square,shared_area,1.2743577612780412,5000,0.2694,0.7306,0.5388
2221,ball,ball_bivariate_radius_alpha=0.75,100,square,distance,6169.537908443555,5000,0.0006,0.9994,0.0012
2221,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,intersection,646.0,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,shared_area,3.0796727644794397,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=0.75,100,first_mark,distance,11712.068617052893,5000,0.0566,0.9434,0.1132
2221,ball,ball_bivariate_radius_alpha=1,100,product,intersection,420.0,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=1,100,product,shared_area,2.311130401196938,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=1,100,product,distance,6486.794314811287,5000,0.1944,0.8056,0.3888
2221,ball,ball_bivariate_radius_alpha=1,100,square,intersection,277.0,5000,0.0362,0.9638,0.0724
2221,ball,ball_bivariate_radius_alpha=1,100,square,shared_area,1.0827783464757228,5000,0.0022,0.9978,0.0044
2221,ball,ball_bivariate_radius_alpha=1,100,square,distance,6223.490459515695,5000,0.8736,0.12639999999999996,0.2527999999999999
2221,ball,ball_bivariate_radius_alpha=1,100,first_mark,intersection,697.0,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=1,100,first_mark,shared_area,3.3939087476726604,5000,1.0,0.0,0.0
2221,ball,ball_bivariate_radius_alpha=1,100,first_mark,distance,12710.284774326981,5000,0.2316,0.7684,0.4632
2221,ball,ball_continuous_radius_alpha=0,100,product,intersection,6.742236817087098,5000,0.3428,0.6572,0.6856
2221,ball,ball_continuous_radius_alpha=0,100,product,shared_area,0.029487586044251855,5000,0.317,0.683,0.634
2221,ball,ball_continuous_radius_alpha=0,100,product,distance,139.60480666713016,5000,0.3736,0.6264000000000001,0.7472
2221,ball,ball_continuous_radius_alpha=0,100,square,intersection,0.23316551960583454,5000,0.454,0.546,0.908
2221,ball,ball_continuous_radius_alpha=0,100,square,shared_area,0.0010799689181087138,5000,0.7688,0.23119999999999996,0.4623999999999999
2221,ball,ball_continuous_radius_alpha=0,100,square,distance,4.815659206601594,5000,0.3372,0.6628000000000001,0.6744
2221,ball,ball_continuous_radius_alpha=0,100,first_mark,intersection,89.78593784268806,5000,0.33,0.6699999999999999,0.66
2221,ball,ball_continuous_radius_alpha=0,100,first_mark,shared_area,0.39364897536899257,5000,0.3348,0.6652,0.6696
2221,ball,ball_continuous_radius_alpha=0,100,first_mark,distance,1857.1458021592641,5000,0.3678,0.6322,0.7356
2221,ball,ball_continuous_radius_alpha=0.25,100,product,intersection,6.884537499451498,5000,0.8284,0.17159999999999997,0.34319999999999995
2221,ball,ball_continuous_radius_alpha=0.25,100,product,shared_area,0.031001787595045068,5000,0.9966,0.0033999999999999586,0.006799999999999917
2221,ball,ball_continuous_radius_alpha=0.25,100,product,distance,140.95255977238924,5000,0.4128,0.5871999999999999,0.8256
2221,ball,ball_continuous_radius_alpha=0.25,100,square,intersection,0.1473030194829375,5000,0.7108,0.2892,0.5784
2221,ball,ball_continuous_radius_alpha=0.25,100,square,shared_area,0.0006444230822731836,5000,0.6356,0.36439999999999995,0.7287999999999999
2221,ball,ball_continuous_radius_alpha=0.25,100,square,distance,2.94752655628065,5000,0.4046,0.5953999999999999,0.8092
2221,ball,ball_continuous_radius_alpha=0.25,100,first_mark,intersection,90.79717458402345,5000,0.8618,0.1382,0.2764
2221,ball,ball_continuous_radius_alpha=0.25,100,first_mark,shared_area,0.40357278172578626,5000,0.9974,0.0026000000000000467,0.0052000000000000934
2221,ball,ball_continuous_radius_alpha=0.25,100,first_mark,distance,1866.0353103309546,5000,0.4084,0.5916,0.8168
2221,ball,ball_continuous_radius_alpha=0.5,100,product,intersection,6.7193278268752294,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.5,100,product,shared_area,0.03060701099642183,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.5,100,product,distance,133.60269389158788,5000,0.0158,0.9842,0.0316
2221,ball,ball_continuous_radius_alpha=0.5,100,square,intersection,0.12195694242979863,5000,0.8102,0.18979999999999997,0.37959999999999994
2221,ball,ball_continuous_radius_alpha=0.5,100,square,shared_area,0.0004759019441776792,5000,0.1632,0.8368,0.3264
2221,ball,ball_continuous_radius_alpha=0.5,100,square,distance,2.3688975210190066,5000,0.111,0.889,0.222
2221,ball,ball_continuous_radius_alpha=0.5,100,first_mark,intersection,89.67163141476264,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.5,100,first_mark,shared_area,0.40065130763161894,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.5,100,first_mark,distance,1816.747661526408,5000,0.0152,0.9848,0.0304
2221,ball,ball_continuous_radius_alpha=0.75,100,product,intersection,7.046158619228384,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.75,100,product,shared_area,0.03249871258344545,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.75,100,product,distance,136.91804931715365,5000,0.0366,0.9634,0.0732
2221,ball,ball_continuous_radius_alpha=0.75,100,square,intersection,0.1556080271212392,5000,0.6426,0.35740000000000005,0.7148000000000001
2221,ball,ball_continuous_radius_alpha=0.75,100,square,shared_area,0.0005899446017319955,5000,0.0464,0.9536,0.0928
2221,ball,ball_continuous_radius_alpha=0.75,100,square,distance,3.1510872893802713,5000,0.4784,0.5216000000000001,0.9568
2221,ball,ball_continuous_radius_alpha=0.75,100,first_mark,intersection,91.80258758989976,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.75,100,first_mark,shared_area,0.412627497488507,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=0.75,100,first_mark,distance,1839.1789849400816,5000,0.036,0.964,0.072
2221,ball,ball_continuous_radius_alpha=1,100,product,intersection,7.083425767610819,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=1,100,product,shared_area,0.033210894178492725,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=1,100,product,distance,134.68121839564816,5000,0.0082,0.9918,0.0164
2221,ball,ball_continuous_radius_alpha=1,100,square,intersection,0.23388359461503228,5000,0.389,0.611,0.778
2221,ball,ball_continuous_radius_alpha=1,100,square,shared_area,0.0008734844642586001,5000,0.008,0.992,0.016
2221,ball,ball_continuous_radius_alpha=1,100,square,distance,4.880877824802987,5000,0.4478,0.5522,0.8956
2221,ball,ball_continuous_radius_alpha=1,100,first_mark,intersection,92.02643511764363,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=1,100,first_mark,shared_area,0.41692049207462084,5000,1.0,0.0,0.0
2221,ball,ball_continuous_radius_alpha=1,100,first_mark,distance,1824.1754224882984,5000,0.0074,0.9926,0.0148
2221,ball,ball_N_N_dist_alpha=0,100,product,intersection,1061.9964519324785,5000,0.6794,0.3206,0.6412
2221,ball,ball_N_N_dist_alpha=0,100,product,shared_area,4.412390392746658,5000,0.227,0.773,0.454
2221,ball,ball_N_N_dist_alpha=0,100,product,distance,21678.054145388927,5000,0.5712,0.42879999999999996,0.8575999999999999
2221,ball,ball_N_N_dist_alpha=0,100,square,intersection,315.71713453356597,5000,0.616,0.384,0.768
2221,ball,ball_N_N_dist_alpha=0,100,square,shared_area,1.3188624182460162,5000,0.3112,0.6888000000000001,0.6224
2221,ball,ball_N_N_dist_alpha=0,100,square,distance,6330.614048440574,5000,0.1276,0.8724000000000001,0.2552
2221,ball,ball_N_N_dist_alpha=0,100,first_mark,intersection,1128.1720867224735,5000,0.6972,0.30279999999999996,0.6055999999999999
2221,ball,ball_N_N_dist_alpha=0,100,first_mark,shared_area,4.7693550556289335,5000,0.1106,0.8894,0.2212
2221,ball,ball_N_N_dist_alpha=0,100,first_mark,distance,23155.323585868973,5000,0.566,0.43400000000000005,0.8680000000000001
2221,ball,ball_N_N_dist_alpha=0.25,100,product,intersection,512.2767334446709,5000,0.7044,0.2956,0.5912
2221,ball,ball_N_N_dist_alpha=0.25,100,product,shared_area,2.2705875668813746,5000,0.713,0.28700000000000003,0.5740000000000001
